DateKey,ModelKey,MetricName,MetricValue,MetricGoal,IsBreach,PSIDriftScore,PredictionVolume,P95LatencyMs,FeatureNullPct,TrainingDataAgeDays,ModelVersion
20250320,1,MAPE,10.3772,12.00,0,0.0548,74,183,0.647,5,2.3.0
20250320,2,NDCG@5,0.8676,0.82,0,0.0809,610,59,0.759,5,3.1.0
20250321,1,MAPE,12.2992,12.00,1,0.0718,95,198,0.427,6,2.3.0
20250321,2,NDCG@5,0.8608,0.82,0,0.0557,782,40,0.319,6,3.1.0
20250322,1,MAPE,11.9792,12.00,0,0.0525,105,230,0.825,0,2.3.0
20250322,2,NDCG@5,0.8691,0.82,0,0.0729,862,51,0.461,0,3.1.0
20250323,1,MAPE,11.0052,12.00,0,0.0611,112,216,0.734,1,2.3.0
20250323,2,NDCG@5,0.8439,0.82,0,0.0502,920,43,0.302,1,3.1.0
20250324,1,MAPE,11.8672,12.00,0,0.0475,73,174,0.544,2,2.3.0
20250324,2,NDCG@5,0.8497,0.82,0,0.1066,598,50,0.326,2,3.1.0
20250325,1,MAPE,11.8361,12.00,0,0.0578,80,219,0.632,3,2.3.0
20250325,2,NDCG@5,0.8376,0.82,0,0.1092,656,45,0.324,3,3.1.0
20250326,1,MAPE,11.3677,12.00,0,0.0620,57,228,0.385,4,2.3.0
20250326,2,NDCG@5,0.8539,0.82,0,0.0554,472,65,0.232,4,3.1.0
20250327,1,MAPE,11.2386,12.00,0,0.0586,66,206,0.261,5,2.3.0
20250327,2,NDCG@5,0.8478,0.82,0,0.0443,540,40,0.585,5,3.1.0
20250328,1,MAPE,11.6350,12.00,0,0.0632,62,177,0.303,6,2.3.0
20250328,2,NDCG@5,0.7771,0.82,1,0.0758,506,43,0.709,6,3.1.0
20250329,1,MAPE,11.9403,12.00,0,0.0708,73,250,0.796,0,2.3.0
20250329,2,NDCG@5,0.8635,0.82,0,0.0600,598,46,0.249,0,3.1.0
20250330,1,MAPE,12.1654,12.00,1,0.0409,88,192,0.331,1,2.3.0
20250330,2,NDCG@5,0.8715,0.82,0,0.0459,724,39,0.414,1,3.1.0
20250331,1,MAPE,11.6284,12.00,0,0.0360,63,198,0.303,2,2.3.0
20250331,2,NDCG@5,0.8715,0.82,0,0.0866,518,41,0.352,2,3.1.0
20250401,1,MAPE,11.6265,12.00,0,0.0619,85,279,0.371,3,2.3.0
20250401,2,NDCG@5,0.8415,0.82,0,0.0855,702,47,0.207,3,3.1.0
20250402,1,MAPE,10.7891,12.00,0,0.0573,81,238,0.391,4,2.3.0
20250402,2,NDCG@5,0.8440,0.82,0,0.0784,667,43,0.560,4,3.1.0
20250403,1,MAPE,10.8621,12.00,0,0.0701,77,207,0.378,5,2.3.0
20250403,2,NDCG@5,0.8419,0.82,0,0.1066,632,45,0.477,5,3.1.0
20250404,1,MAPE,10.5717,12.00,0,0.0631,80,201,0.745,6,2.3.0
20250404,2,NDCG@5,0.8459,0.82,0,0.0287,656,32,0.588,6,3.1.0
20250405,1,MAPE,11.7209,12.00,0,0.0697,127,183,0.795,0,2.3.0
20250405,2,NDCG@5,0.8594,0.82,0,0.1029,1046,51,0.439,0,3.1.0
20250406,1,MAPE,11.0362,12.00,0,0.0428,108,186,0.271,1,2.3.0
20250406,2,NDCG@5,0.8697,0.82,0,0.0485,886,52,0.612,1,3.1.0
20250407,1,MAPE,10.7051,12.00,0,0.0454,63,231,0.288,2,2.3.0
20250407,2,NDCG@5,0.8673,0.82,0,0.1085,518,59,0.219,2,3.1.0
20250408,1,MAPE,10.8068,12.00,0,0.0577,80,197,0.328,3,2.3.0
20250408,2,NDCG@5,0.8723,0.82,0,0.0570,656,50,0.499,3,3.1.0
20250409,1,MAPE,11.4220,12.00,0,0.0716,77,202,0.733,4,2.3.0
20250409,2,NDCG@5,0.8580,0.82,0,0.0267,632,53,0.846,4,3.1.0
20250410,1,MAPE,10.0796,12.00,0,0.0693,83,227,0.845,5,2.3.0
20250410,2,NDCG@5,0.8487,0.82,0,0.0494,678,45,0.207,5,3.1.0
20250410,4,RMSEMins,12.0807,14.00,0,0.0229,130,37,0.508,0,1.4.0
20250411,1,MAPE,10.9264,12.00,0,0.0374,70,220,0.602,6,2.3.0
20250411,2,NDCG@5,0.8251,0.82,0,0.0575,575,48,0.529,6,3.1.0
20250411,4,RMSEMins,12.9972,14.00,0,0.0615,110,31,0.771,1,1.4.0
20250412,1,MAPE,11.6247,12.00,0,0.0645,111,205,0.585,0,2.3.0
20250412,2,NDCG@5,0.8595,0.82,0,0.0488,908,48,0.762,0,3.1.0
20250412,4,RMSEMins,13.9661,14.00,0,0.0299,174,40,0.565,2,1.4.0
20250413,1,MAPE,12.4435,12.00,1,0.0561,92,233,0.200,1,2.3.0
20250413,2,NDCG@5,0.8571,0.82,0,0.0296,759,47,0.285,1,3.1.0
20250413,4,RMSEMins,13.6791,14.00,0,0.0965,145,30,0.619,3,1.4.0
20250414,1,MAPE,12.2078,12.00,1,0.0554,66,172,0.801,2,2.3.0
20250414,2,NDCG@5,0.8589,0.82,0,0.0436,540,53,0.532,2,3.1.0
20250414,4,RMSEMins,14.1461,14.00,1,0.0282,103,32,0.625,4,1.4.0
20250415,1,MAPE,12.3415,12.00,1,0.0452,71,174,0.612,3,2.3.0
20250415,2,NDCG@5,0.8451,0.82,0,0.0694,586,52,0.641,3,3.1.0
20250415,4,RMSEMins,12.2673,14.00,0,0.1033,112,37,0.723,5,1.4.0
20250416,1,MAPE,11.2197,12.00,0,0.0681,67,217,0.837,4,2.3.0
20250416,2,NDCG@5,0.8727,0.82,0,0.0245,552,52,0.543,4,3.1.0
20250416,4,RMSEMins,13.3792,14.00,0,0.0483,106,34,0.529,6,1.4.0
20250417,1,MAPE,11.3232,12.00,0,0.0374,63,222,0.400,5,2.3.0
20250417,2,NDCG@5,0.8536,0.82,0,0.0675,518,46,0.326,5,3.1.0
20250417,4,RMSEMins,11.9114,14.00,0,0.0324,99,45,0.468,0,1.4.0
20250418,1,MAPE,10.3194,12.00,0,0.0479,70,211,0.834,6,2.3.0
20250418,2,NDCG@5,0.8740,0.82,0,0.0753,575,45,0.735,6,3.1.0
20250418,4,RMSEMins,13.6932,14.00,0,0.0999,110,35,0.679,1,1.4.0
20250419,1,MAPE,10.8846,12.00,0,0.0548,122,209,0.502,0,2.3.0
20250419,2,NDCG@5,0.8497,0.82,0,0.0764,1000,61,0.676,0,3.1.0
20250419,4,RMSEMins,13.7758,14.00,0,0.0861,191,32,0.584,2,1.4.0
20250420,1,MAPE,9.9042,12.00,0,0.0529,101,239,0.202,1,2.3.0
20250420,2,NDCG@5,0.8454,0.82,0,0.0428,828,51,0.475,1,3.1.0
20250420,4,RMSEMins,12.8360,14.00,0,0.1061,158,36,0.339,3,1.4.0
20250421,1,MAPE,11.5637,12.00,0,0.0410,77,216,0.505,2,2.3.0
20250421,2,NDCG@5,0.8692,0.82,0,0.0491,632,44,0.697,2,3.1.0
20250421,4,RMSEMins,12.9435,14.00,0,0.0720,121,43,0.471,4,1.4.0
20250422,1,MAPE,10.8961,12.00,0,0.0644,94,182,0.757,3,2.3.0
20250422,2,NDCG@5,0.8501,0.82,0,0.0902,770,66,0.847,3,3.1.0
20250422,4,RMSEMins,13.6484,14.00,0,0.0723,147,35,0.797,5,1.4.0
20250423,1,MAPE,10.9732,12.00,0,0.0665,77,166,0.275,4,2.3.0
20250423,2,NDCG@5,0.8689,0.82,0,0.1075,632,49,0.466,4,3.1.0
20250423,4,RMSEMins,12.8139,14.00,0,0.0540,121,46,0.530,6,1.4.0
20250424,1,MAPE,10.1101,12.00,0,0.0472,77,204,0.663,5,2.3.0
20250424,2,NDCG@5,0.8651,0.82,0,0.0728,632,44,0.754,5,3.1.0
20250424,4,RMSEMins,12.9192,14.00,0,0.0585,121,35,0.572,0,1.4.0
20250425,1,MAPE,9.8514,12.00,0,0.0470,71,188,0.850,6,2.3.0
20250425,2,NDCG@5,0.8574,0.82,0,0.0646,586,46,0.768,6,3.1.0
20250425,4,RMSEMins,13.3424,14.00,0,0.1046,112,48,0.467,1,1.4.0
20250426,1,MAPE,11.6337,12.00,0,0.0515,95,239,0.468,0,2.3.0
20250426,2,NDCG@5,0.8437,0.82,0,0.0936,782,37,0.481,0,3.1.0
20250426,4,RMSEMins,13.2440,14.00,0,0.1064,150,41,0.664,2,1.4.0
20250427,1,MAPE,10.7782,12.00,0,0.0386,104,236,0.769,1,2.3.0
20250427,2,NDCG@5,0.8523,0.82,0,0.0624,851,39,0.469,1,3.1.0
20250427,4,RMSEMins,14.3429,14.00,1,0.1018,163,42,0.791,3,1.4.0
20250428,1,MAPE,12.8845,12.00,1,0.0736,81,237,0.738,2,2.3.0
20250428,2,NDCG@5,0.8644,0.82,0,0.1004,667,51,0.266,2,3.1.0
20250428,4,RMSEMins,14.2157,14.00,1,0.0245,128,45,0.725,4,1.4.0
20250429,1,MAPE,11.9550,12.00,0,0.0412,60,214,0.681,3,2.3.0
20250429,2,NDCG@5,0.8647,0.82,0,0.0781,494,53,0.363,3,3.1.0
20250429,4,RMSEMins,12.4369,14.00,0,0.0916,95,42,0.354,5,1.4.0
20250430,1,MAPE,10.3876,12.00,0,0.0490,76,219,0.541,4,2.3.0
20250430,2,NDCG@5,0.8484,0.82,0,0.0989,621,48,0.240,4,3.1.0
20250430,4,RMSEMins,12.1046,14.00,0,0.0628,119,40,0.427,6,1.4.0
20250501,1,MAPE,10.2605,12.00,0,0.0639,74,212,0.688,5,2.3.0
20250501,2,NDCG@5,0.8455,0.82,0,0.0719,610,54,0.451,5,3.1.0
20250501,3,QuoteAcceptRate,0.6240,0.62,0,0.1042,138,58,0.781,0,1.6.0
20250501,4,RMSEMins,13.9465,14.00,0,0.0717,117,32,0.835,0,1.4.0
20250502,1,MAPE,11.1120,12.00,0,0.0539,53,199,0.497,6,2.3.0
20250502,2,NDCG@5,0.8492,0.82,0,0.0659,437,51,0.279,6,3.1.0
20250502,3,QuoteAcceptRate,0.6485,0.62,0,0.0949,99,59,0.676,1,1.6.0
20250502,4,RMSEMins,12.8041,14.00,0,0.0824,84,32,0.523,1,1.4.0
20250503,1,MAPE,11.2182,12.00,0,0.0601,102,211,0.672,0,2.3.0
20250503,2,NDCG@5,0.8702,0.82,0,0.0783,840,40,0.638,0,3.1.0
20250503,3,QuoteAcceptRate,0.6775,0.62,0,0.0892,190,69,0.542,2,1.6.0
20250503,4,RMSEMins,12.8318,14.00,0,0.0723,161,40,0.669,2,1.4.0
20250504,1,MAPE,9.9341,12.00,0,0.0623,108,223,0.791,1,2.3.0
20250504,2,NDCG@5,0.8585,0.82,0,0.0299,886,47,0.262,1,3.1.0
20250504,3,QuoteAcceptRate,0.6372,0.62,0,0.0590,200,48,0.208,3,1.6.0
20250504,4,RMSEMins,13.3284,14.00,0,0.0638,169,41,0.707,3,1.4.0
20250505,1,MAPE,11.2831,12.00,0,0.0646,85,204,0.418,2,2.3.0
20250505,2,NDCG@5,0.8604,0.82,0,0.0568,702,56,0.665,2,3.1.0
20250505,3,QuoteAcceptRate,0.6556,0.62,0,0.0448,159,51,0.408,4,1.6.0
20250505,4,RMSEMins,12.9196,14.00,0,0.0608,134,42,0.416,4,1.4.0
20250506,1,MAPE,11.6741,12.00,0,0.0362,48,215,0.793,3,2.3.0
20250506,2,NDCG@5,0.8621,0.82,0,0.0386,391,58,0.676,3,3.1.0
20250506,3,QuoteAcceptRate,0.6367,0.62,0,0.0400,88,74,0.480,5,1.6.0
20250506,4,RMSEMins,13.0327,14.00,0,0.0728,75,39,0.314,5,1.4.0
20250507,1,MAPE,11.2224,12.00,0,0.0396,78,269,0.579,4,2.3.0
20250507,2,NDCG@5,0.8663,0.82,0,0.0961,644,57,0.523,4,3.1.0
20250507,3,QuoteAcceptRate,0.6504,0.62,0,0.0718,146,72,0.772,6,1.6.0
20250507,4,RMSEMins,12.6848,14.00,0,0.0429,123,38,0.677,6,1.4.0
20250508,1,MAPE,11.0117,12.00,0,0.0432,71,204,0.297,5,2.3.0
20250508,2,NDCG@5,0.8583,0.82,0,0.0221,586,66,0.674,5,3.1.0
20250508,3,QuoteAcceptRate,0.6357,0.62,0,0.0777,133,66,0.207,0,1.6.0
20250508,4,RMSEMins,13.5104,14.00,0,0.0924,112,41,0.402,0,1.4.0
20250509,1,MAPE,10.7550,12.00,0,0.0544,74,211,0.380,6,2.3.0
20250509,2,NDCG@5,0.8589,0.82,0,0.0463,610,48,0.713,6,3.1.0
20250509,3,QuoteAcceptRate,0.6619,0.62,0,0.0724,138,63,0.512,1,1.6.0
20250509,4,RMSEMins,12.7819,14.00,0,0.1017,117,38,0.602,1,1.4.0
20250510,1,MAPE,9.9528,12.00,0,0.0660,95,199,0.580,0,2.3.0
20250510,2,NDCG@5,0.7675,0.82,1,0.0934,782,54,0.386,0,3.1.0
20250510,3,QuoteAcceptRate,0.6414,0.62,0,0.0483,177,67,0.715,2,1.6.0
20250510,4,RMSEMins,12.2315,14.00,0,0.0478,150,38,0.252,2,1.4.0
20250511,1,MAPE,11.3594,12.00,0,0.0449,115,202,0.652,1,2.3.0
20250511,2,NDCG@5,0.8457,0.82,0,0.0423,943,41,0.470,1,3.1.0
20250511,3,QuoteAcceptRate,0.6601,0.62,0,0.0655,213,69,0.786,3,1.6.0
20250511,4,RMSEMins,12.7023,14.00,0,0.0817,180,41,0.754,3,1.4.0
20250512,1,MAPE,10.7796,12.00,0,0.0697,64,272,0.266,2,2.3.0
20250512,2,NDCG@5,0.8490,0.82,0,0.0822,529,43,0.528,2,3.1.0
20250512,3,QuoteAcceptRate,0.6348,0.62,0,0.0531,120,70,0.203,4,1.6.0
20250512,4,RMSEMins,13.2578,14.00,0,0.1010,101,40,0.531,4,1.4.0
20250513,1,MAPE,10.0777,12.00,0,0.0384,66,245,0.202,3,2.3.0
20250513,2,NDCG@5,0.8445,0.82,0,0.1063,540,51,0.831,3,3.1.0
20250513,3,QuoteAcceptRate,0.6123,0.62,1,0.0322,122,71,0.550,5,1.6.0
20250513,4,RMSEMins,12.6930,14.00,0,0.1043,103,37,0.661,5,1.4.0
20250514,1,MAPE,9.9693,12.00,0,0.0690,52,190,0.787,4,2.3.0
20250514,2,NDCG@5,0.8536,0.82,0,0.0821,426,47,0.358,4,3.1.0
20250514,3,QuoteAcceptRate,0.6410,0.62,0,0.0564,96,51,0.289,6,1.6.0
20250514,4,RMSEMins,12.8379,14.00,0,0.0387,81,40,0.284,6,1.4.0
20250515,1,MAPE,10.3348,12.00,0,0.0493,60,175,0.529,5,2.3.0
20250515,2,NDCG@5,0.8508,0.82,0,0.0290,494,53,0.258,5,3.1.0
20250515,3,QuoteAcceptRate,0.6721,0.62,0,0.0984,112,64,0.607,0,1.6.0
20250515,4,RMSEMins,13.4877,14.00,0,0.0211,95,38,0.538,0,1.4.0
20250516,1,MAPE,10.3398,12.00,0,0.0724,78,198,0.648,6,2.3.0
20250516,2,NDCG@5,0.8606,0.82,0,0.0791,644,49,0.763,6,3.1.0
20250516,3,QuoteAcceptRate,0.6297,0.62,0,0.0609,146,74,0.707,1,1.6.0
20250516,4,RMSEMins,12.5638,14.00,0,0.0439,123,40,0.698,1,1.4.0
20250517,1,MAPE,10.9535,12.00,0,0.0392,95,173,0.438,0,2.3.0
20250517,2,NDCG@5,0.8382,0.82,0,0.0229,782,48,0.339,0,3.1.0
20250517,3,QuoteAcceptRate,0.6445,0.62,0,0.0642,177,74,0.722,2,1.6.0
20250517,4,RMSEMins,13.6358,14.00,0,0.0337,150,34,0.236,2,1.4.0
20250518,1,MAPE,11.1011,12.00,0,0.0719,99,203,0.611,1,2.3.0
20250518,2,NDCG@5,0.8565,0.82,0,0.1082,816,51,0.471,1,3.1.0
20250518,3,QuoteAcceptRate,0.6158,0.62,1,0.0677,185,64,0.312,3,1.6.0
20250518,4,RMSEMins,13.8524,14.00,0,0.1056,156,39,0.493,3,1.4.0
20250519,1,MAPE,10.5405,12.00,0,0.0539,69,182,0.800,2,2.3.0
20250519,2,NDCG@5,0.8315,0.82,0,0.0288,564,52,0.742,2,3.1.0
20250519,3,QuoteAcceptRate,0.6392,0.62,0,0.0796,127,91,0.722,4,1.6.0
20250519,4,RMSEMins,12.6629,14.00,0,0.0233,108,43,0.802,4,1.4.0
20250520,1,MAPE,11.0762,12.00,0,0.0660,63,181,0.633,3,2.3.0
20250520,2,NDCG@5,0.8449,0.82,0,0.0735,518,40,0.392,3,3.1.0
20250520,3,QuoteAcceptRate,0.6575,0.62,0,0.1006,117,53,0.271,5,1.6.0
20250520,4,RMSEMins,12.9034,14.00,0,0.1011,99,40,0.435,5,1.4.0
20250521,1,MAPE,10.8214,12.00,0,0.0723,66,211,0.810,4,2.3.0
20250521,2,NDCG@5,0.8290,0.82,0,0.0979,540,47,0.564,4,3.1.0
20250521,3,QuoteAcceptRate,0.6245,0.62,0,0.0362,122,62,0.754,6,1.6.0
20250521,4,RMSEMins,11.8515,14.00,0,0.0504,103,51,0.355,6,1.4.0
20250522,1,MAPE,10.5087,12.00,0,0.0705,77,206,0.428,5,2.3.0
20250522,2,NDCG@5,0.8426,0.82,0,0.0989,632,43,0.393,5,3.1.0
20250522,3,QuoteAcceptRate,0.6484,0.62,0,0.0779,143,60,0.668,0,1.6.0
20250522,4,RMSEMins,12.5820,14.00,0,0.0604,121,35,0.409,0,1.4.0
20250523,1,MAPE,9.8110,12.00,0,0.0734,88,235,0.682,6,2.3.0
20250523,2,NDCG@5,0.8575,0.82,0,0.0957,724,49,0.445,6,3.1.0
20250523,3,QuoteAcceptRate,0.6116,0.62,1,0.1070,164,61,0.602,1,1.6.0
20250523,4,RMSEMins,13.7155,14.00,0,0.0522,139,37,0.665,1,1.4.0
20250524,1,MAPE,9.8585,12.00,0,0.0601,91,184,0.690,0,2.3.0
20250524,2,NDCG@5,0.8659,0.82,0,0.0757,748,46,0.529,0,3.1.0
20250524,3,QuoteAcceptRate,0.6532,0.62,0,0.0966,169,55,0.228,2,1.6.0
20250524,4,RMSEMins,12.6857,14.00,0,0.0278,143,45,0.619,2,1.4.0
20250525,1,MAPE,10.4698,12.00,0,0.0595,84,215,0.820,1,2.3.0
20250525,2,NDCG@5,0.8529,0.82,0,0.0497,690,57,0.354,1,3.1.0
20250525,3,QuoteAcceptRate,0.6924,0.62,0,0.1013,156,58,0.837,3,1.6.0
20250525,4,RMSEMins,12.4460,14.00,0,0.0750,132,41,0.730,3,1.4.0
20250526,1,MAPE,10.6618,12.00,0,0.0385,78,185,0.510,2,2.3.0
20250526,2,NDCG@5,0.8579,0.82,0,0.1081,644,45,0.739,2,3.1.0
20250526,3,QuoteAcceptRate,0.6474,0.62,0,0.0369,146,55,0.566,4,1.6.0
20250526,4,RMSEMins,13.8938,14.00,0,0.0371,123,38,0.264,4,1.4.0
20250527,1,MAPE,11.0278,12.00,0,0.0733,57,178,0.320,3,2.3.0
20250527,2,NDCG@5,0.8427,0.82,0,0.0626,472,50,0.298,3,3.1.0
20250527,3,QuoteAcceptRate,0.6273,0.62,0,0.0964,107,59,0.224,5,1.6.0
20250527,4,RMSEMins,13.5705,14.00,0,0.0811,90,30,0.383,5,1.4.0
20250528,1,MAPE,10.0802,12.00,0,0.0656,57,220,0.320,4,2.3.0
20250528,2,NDCG@5,0.8478,0.82,0,0.0376,472,49,0.512,4,3.1.0
20250528,3,QuoteAcceptRate,0.6543,0.62,0,0.0616,107,67,0.311,6,1.6.0
20250528,4,RMSEMins,12.9474,14.00,0,0.0772,90,37,0.837,6,1.4.0
20250529,1,MAPE,11.2016,12.00,0,0.0608,70,217,0.420,5,2.3.0
20250529,2,NDCG@5,0.8411,0.82,0,0.0389,575,46,0.570,5,3.1.0
20250529,3,QuoteAcceptRate,0.6606,0.62,0,0.0602,130,70,0.604,0,1.6.0
20250529,4,RMSEMins,14.2928,14.00,1,0.0890,110,38,0.740,0,1.4.0
20250530,1,MAPE,10.0339,12.00,0,0.0493,62,223,0.300,6,2.3.0
20250530,2,NDCG@5,0.8498,0.82,0,0.0730,506,41,0.714,6,3.1.0
20250530,3,QuoteAcceptRate,0.6376,0.62,0,0.0379,114,57,0.640,1,1.6.0
20250530,4,RMSEMins,12.0327,14.00,0,0.0747,97,48,0.554,1,1.4.0
20250531,1,MAPE,10.1106,12.00,0,0.0474,74,234,0.365,0,2.3.0
20250531,2,NDCG@5,0.8485,0.82,0,0.0278,610,50,0.648,0,3.1.0
20250531,3,QuoteAcceptRate,0.6242,0.62,0,0.0449,138,54,0.250,2,1.6.0
20250531,4,RMSEMins,13.8539,14.00,0,0.0974,117,34,0.739,2,1.4.0
20250601,1,MAPE,10.1876,12.00,0,0.0432,150,175,0.513,1,2.3.0
20250601,2,NDCG@5,0.8415,0.82,0,0.0498,1230,43,0.345,1,3.1.0
20250601,3,QuoteAcceptRate,0.6776,0.62,0,0.0676,278,59,0.419,3,1.6.0
20250601,4,RMSEMins,11.9360,14.00,0,0.0666,235,38,0.621,3,1.4.0
20250602,1,MAPE,11.0212,12.00,0,0.0728,67,222,0.602,2,2.3.0
20250602,2,NDCG@5,0.8459,0.82,0,0.0958,552,48,0.562,2,3.1.0
20250602,3,QuoteAcceptRate,0.6294,0.62,0,0.0324,125,64,0.573,4,1.6.0
20250602,4,RMSEMins,13.0356,14.00,0,0.0914,106,33,0.539,4,1.4.0
20250603,1,MAPE,9.7930,12.00,0,0.0351,78,235,0.280,3,2.3.0
20250603,2,NDCG@5,0.8475,0.82,0,0.0379,644,44,0.454,3,3.1.0
20250603,3,QuoteAcceptRate,0.6230,0.62,0,0.0524,146,58,0.442,5,1.6.0
20250603,4,RMSEMins,12.9003,14.00,0,0.0886,123,33,0.626,5,1.4.0
20250604,1,MAPE,10.0887,12.00,0,0.0606,99,195,0.232,4,2.3.0
20250604,2,NDCG@5,0.8511,0.82,0,0.0442,816,56,0.592,4,3.1.0
20250604,3,QuoteAcceptRate,0.6769,0.62,0,0.0883,185,48,0.258,6,1.6.0
20250604,4,RMSEMins,13.8935,14.00,0,0.0597,156,45,0.805,6,1.4.0
20250605,1,MAPE,10.6378,12.00,0,0.0697,105,223,0.662,5,2.3.0
20250605,2,NDCG@5,0.8513,0.82,0,0.0964,862,58,0.293,5,3.1.0
20250605,3,QuoteAcceptRate,0.6673,0.62,0,0.0434,195,58,0.418,0,1.6.0
20250605,4,RMSEMins,11.9857,14.00,0,0.0811,165,51,0.396,0,1.4.0
20250606,1,MAPE,11.1359,12.00,0,0.0593,90,197,0.233,6,2.3.0
20250606,2,NDCG@5,0.8481,0.82,0,0.0855,736,54,0.533,6,3.1.0
20250606,3,QuoteAcceptRate,0.6228,0.62,0,0.1080,166,71,0.780,1,1.6.0
20250606,4,RMSEMins,11.5943,14.00,0,0.0909,141,38,0.413,1,1.4.0
20250607,1,MAPE,10.1130,12.00,0,0.0370,120,237,0.229,0,2.3.0
20250607,2,NDCG@5,0.8437,0.82,0,0.0775,989,35,0.740,0,3.1.0
20250607,3,QuoteAcceptRate,0.6353,0.62,0,0.0828,224,60,0.732,2,1.6.0
