DateKey,AreaKey,ServiceCategory,ForecastedJobs,ActualJobs,AbsError,APE
20250302,3,Carpenter,1.1,1,0.1,0.1000
20250302,3,Electrician,1.0,1,0.0,0.0000
20250302,3,Painter,1.0,1,0.0,0.0000
20250302,4,AC Service,2.3,2,0.3,0.1500
20250302,4,Appliance Repair,0.9,1,0.1,0.1000
20250302,4,Carpenter,1.0,0,1.0,
20250302,4,Deep Cleaning,0.5,0,0.5,
20250302,4,Pest Control,1.1,1,0.1,0.1000
20250302,5,AC Service,2.3,2,0.3,0.1500
20250302,5,Deep Cleaning,1.0,1,0.0,0.0000
20250302,6,AC Service,5.4,5,0.4,0.0800
20250302,6,Appliance Repair,0.9,1,0.1,0.1000
20250302,6,Electrician,1.0,1,0.0,0.0000
20250302,6,Painter,1.4,0,1.4,
20250302,6,Plumber,1.2,1,0.2,0.2000
20250302,7,AC Service,1.0,1,0.0,0.0000
20250302,7,Appliance Repair,2.0,2,0.0,0.0000
20250302,7,Carpenter,0.9,1,0.1,0.1000
20250302,7,Pest Control,1.0,1,0.0,0.0000
20250302,7,Plumber,1.1,0,1.1,
20250302,8,AC Service,1.9,2,0.1,0.0500
20250302,8,Carpenter,0.6,0,0.6,
20250302,8,Deep Cleaning,1.3,1,0.3,0.3000
20250302,8,Painter,0.7,0,0.7,
20250302,9,AC Service,1.0,1,0.0,0.0000
20250302,9,Appliance Repair,2.2,2,0.2,0.1000
20250302,9,Carpenter,1.1,1,0.1,0.1000
20250302,9,Plumber,1.5,2,0.5,0.2500
20250302,10,AC Service,1.1,1,0.1,0.1000
20250302,10,Deep Cleaning,1.0,1,0.0,0.0000
20250302,10,Plumber,0.8,1,0.2,0.2000
20250302,11,Appliance Repair,0.9,1,0.1,0.1000
20250302,11,Plumber,1.6,0,1.6,
20250302,12,AC Service,0.6,0,0.6,
20250302,12,Appliance Repair,0.7,0,0.7,
20250302,12,Deep Cleaning,0.7,1,0.3,0.3000
20250302,12,Plumber,1.2,1,0.2,0.2000
20250302,13,AC Service,2.3,0,2.3,
20250302,13,Electrician,2.5,0,2.5,
20250302,13,Pest Control,2.2,2,0.2,0.1000
20250302,14,Deep Cleaning,2.3,0,2.3,
20250302,14,Pest Control,0.9,1,0.1,0.1000
20250302,15,AC Service,1.1,0,1.1,
20250302,15,Deep Cleaning,2.1,2,0.1,0.0500
20250302,15,Electrician,0.8,1,0.2,0.2000
20250302,15,Painter,0.8,1,0.2,0.2000
20250302,15,Plumber,1.2,1,0.2,0.2000
20250302,16,AC Service,1.0,1,0.0,0.0000
20250302,16,Appliance Repair,0.7,0,0.7,
20250302,16,Deep Cleaning,1.1,1,0.1,0.1000
20250302,17,Plumber,0.9,1,0.1,0.1000
20250302,18,Appliance Repair,0.6,0,0.6,
20250302,18,Deep Cleaning,1.3,0,1.3,
20250302,18,Painter,0.5,0,0.5,
20250302,18,Pest Control,0.7,0,0.7,
20250302,19,Electrician,0.8,1,0.2,0.2000
20250302,19,Pest Control,1.0,0,1.0,
20250302,19,Plumber,0.9,0,0.9,
20250302,20,AC Service,0.6,0,0.6,
20250302,20,Appliance Repair,1.2,0,1.2,
20250302,20,Carpenter,0.6,0,0.6,
20250302,20,Electrician,0.9,1,0.1,0.1000
20250303,1,AC Service,1.3,1,0.3,0.3000
20250303,1,Electrician,7.5,0,7.5,
20250303,1,Plumber,1.0,1,0.0,0.0000
20250303,2,AC Service,3.4,3,0.4,0.1333
20250303,2,Pest Control,2.5,0,2.5,
20250303,2,Plumber,2.0,0,2.0,
20250303,3,AC Service,2.1,2,0.1,0.0500
20250303,3,Appliance Repair,1.1,1,0.1,0.1000
20250303,3,Electrician,0.8,0,0.8,
20250303,4,AC Service,1.0,1,0.0,0.0000
20250303,4,Appliance Repair,1.0,1,0.0,0.0000
20250303,4,Painter,1.1,1,0.1,0.1000
20250303,4,Pest Control,1.1,0,1.1,
20250303,5,AC Service,1.2,1,0.2,0.2000
20250303,5,Pest Control,0.9,1,0.1,0.1000
20250303,6,AC Service,0.9,1,0.1,0.1000
20250303,6,Carpenter,1.1,1,0.1,0.1000
20250303,6,Electrician,0.9,1,0.1,0.1000
20250303,6,Plumber,1.1,1,0.1,0.1000
20250303,7,AC Service,1.2,1,0.2,0.2000
20250303,7,Carpenter,0.9,1,0.1,0.1000
20250303,7,Electrician,0.9,0,0.9,
20250303,7,Pest Control,2.6,0,2.6,
20250303,8,AC Service,2.1,2,0.1,0.0500
20250303,8,Plumber,0.8,0,0.8,
20250303,9,Electrician,1.1,1,0.1,0.1000
20250303,9,Painter,1.1,0,1.1,
20250303,9,Plumber,1.1,1,0.1,0.1000
20250303,10,AC Service,1.0,1,0.0,0.0000
20250303,10,Painter,1.1,1,0.1,0.1000
20250303,10,Plumber,0.9,1,0.1,0.1000
20250303,11,AC Service,1.7,2,0.3,0.1500
20250303,11,Deep Cleaning,0.9,1,0.1,0.1000
20250303,11,Electrician,3.3,3,0.3,0.1000
20250303,11,Plumber,1.1,1,0.1,0.1000
20250303,12,Carpenter,1.3,1,0.3,0.3000
20250303,12,Electrician,1.0,0,1.0,
20250303,12,Pest Control,1.0,1,0.0,0.0000
20250303,12,Plumber,0.7,1,0.3,0.3000
20250303,13,AC Service,1.1,1,0.1,0.1000
20250303,13,Electrician,1.3,0,1.3,
20250303,13,Painter,1.3,0,1.3,
20250303,14,AC Service,1.1,1,0.1,0.1000
20250303,14,Deep Cleaning,1.7,0,1.7,
20250303,14,Electrician,1.2,1,0.2,0.2000
20250303,15,AC Service,1.2,1,0.2,0.2000
20250303,15,Carpenter,1.6,0,1.6,
20250303,15,Electrician,1.1,1,0.1,0.1000
20250303,16,AC Service,1.1,1,0.1,0.1000
20250303,16,Appliance Repair,1.1,1,0.1,0.1000
20250303,16,Carpenter,0.8,0,0.8,
20250303,16,Electrician,1.2,0,1.2,
20250303,16,Painter,1.4,0,1.4,
20250303,17,AC Service,1.4,0,1.4,
20250303,17,Plumber,1.0,1,0.0,0.0000
20250303,18,Pest Control,2.1,0,2.1,
20250303,18,Plumber,0.7,0,0.7,
20250303,19,Appliance Repair,2.0,0,2.0,
20250303,19,Carpenter,1.2,0,1.2,
20250303,19,Painter,1.1,0,1.1,
20250303,19,Plumber,1.0,1,0.0,0.0000
20250303,20,Carpenter,1.5,0,1.5,
20250303,20,Plumber,0.5,0,0.5,
20250304,1,AC Service,3.7,3,0.7,0.2333
20250304,1,Carpenter,0.9,1,0.1,0.1000
20250304,1,Electrician,0.9,1,0.1,0.1000
20250304,1,Pest Control,2.1,0,2.1,
20250304,2,AC Service,1.0,1,0.0,0.0000
20250304,2,Appliance Repair,1.1,1,0.1,0.1000
20250304,2,Deep Cleaning,1.0,1,0.0,0.0000
20250304,2,Painter,1.1,1,0.1,0.1000
20250304,2,Plumber,3.4,3,0.4,0.1333
20250304,3,Appliance Repair,2.0,2,0.0,0.0000
20250304,3,Electrician,0.5,0,0.5,
20250304,3,Painter,1.2,0,1.2,
20250304,4,AC Service,0.8,1,0.2,0.2000
20250304,4,Appliance Repair,1.8,2,0.2,0.1000
20250304,4,Carpenter,1.1,1,0.1,0.1000
20250304,4,Deep Cleaning,0.9,1,0.1,0.1000
20250304,4,Plumber,1.7,2,0.3,0.1500
20250304,5,AC Service,1.0,1,0.0,0.0000
20250304,5,Carpenter,1.5,0,1.5,
20250304,5,Electrician,0.7,0,0.7,
20250304,6,Appliance Repair,2.2,2,0.2,0.1000
20250304,7,AC Service,1.2,1,0.2,0.2000
20250304,7,Appliance Repair,1.2,1,0.2,0.2000
20250304,7,Electrician,1.7,0,1.7,
20250304,8,AC Service,2.3,2,0.3,0.1500
20250304,8,Carpenter,2.2,0,2.2,
20250304,8,Plumber,1.5,0,1.5,
20250304,9,AC Service,0.9,1,0.1,0.1000
20250304,9,Appliance Repair,1.0,1,0.0,0.0000
20250304,9,Plumber,0.6,0,0.6,
20250304,10,Appliance Repair,0.8,1,0.2,0.2000
20250304,10,Carpenter,2.1,0,2.1,
20250304,10,Painter,0.9,1,0.1,0.1000
20250304,10,Pest Control,1.1,0,1.1,
20250304,10,Plumber,2.5,0,2.5,
20250304,11,AC Service,1.1,1,0.1,0.1000
20250304,11,Appliance Repair,1.2,1,0.2,0.2000
20250304,11,Carpenter,0.9,0,0.9,
20250304,11,Deep Cleaning,3.1,0,3.1,
20250304,11,Painter,1.8,0,1.8,
20250304,12,Deep Cleaning,1.1,1,0.1,0.1000
20250304,12,Electrician,1.2,0,1.2,
20250304,13,Appliance Repair,0.5,0,0.5,
20250304,13,Painter,0.6,0,0.6,
20250304,13,Pest Control,1.0,1,0.0,0.0000
20250304,14,AC Service,0.5,0,0.5,
20250304,14,Appliance Repair,2.1,0,2.1,
20250304,14,Carpenter,0.9,0,0.9,
20250304,15,AC Service,0.6,0,0.6,
20250304,15,Carpenter,0.8,0,0.8,
20250304,15,Deep Cleaning,1.0,0,1.0,
20250304,15,Pest Control,0.6,0,0.6,
20250304,16,AC Service,1.1,1,0.1,0.1000
20250304,17,AC Service,0.9,1,0.1,0.1000
20250304,17,Appliance Repair,0.9,0,0.9,
20250304,17,Carpenter,2.2,0,2.2,
20250304,17,Pest Control,0.7,0,0.7,
20250304,18,Carpenter,3.8,0,3.8,
20250304,18,Deep Cleaning,0.9,0,0.9,
20250304,18,Electrician,1.4,0,1.4,
20250304,19,Appliance Repair,1.0,0,1.0,
20250304,19,Carpenter,0.5,0,0.5,
20250304,20,Carpenter,0.5,0,0.5,
20250304,20,Electrician,1.2,0,1.2,
20250304,20,Plumber,0.9,1,0.1,0.1000
20250305,1,AC Service,3.9,3,0.9,0.3000
20250305,1,Appliance Repair,1.1,1,0.1,0.1000
20250305,1,Carpenter,1.0,1,0.0,0.0000
20250305,1,Deep Cleaning,1.0,0,1.0,
20250305,2,AC Service,1.0,1,0.0,0.0000
20250305,2,Appliance Repair,0.9,1,0.1,0.1000
20250305,2,Carpenter,1.1,1,0.1,0.1000
20250305,2,Deep Cleaning,1.1,1,0.1,0.1000
20250305,2,Electrician,0.9,0,0.9,
20250305,2,Pest Control,0.6,0,0.6,
20250305,3,AC Service,0.9,1,0.1,0.1000
20250305,3,Appliance Repair,1.1,0,1.1,
20250305,3,Deep Cleaning,1.8,0,1.8,
20250305,3,Plumber,2.6,0,2.6,
20250305,4,AC Service,1.9,2,0.1,0.0500
20250305,4,Appliance Repair,2.2,0,2.2,
20250305,4,Deep Cleaning,2.0,2,0.0,0.0000
20250305,4,Pest Control,0.7,0,0.7,
20250305,5,Plumber,1.1,1,0.1,0.1000
20250305,6,AC Service,2.7,3,0.3,0.1000
20250305,6,Pest Control,4.4,0,4.4,
20250305,7,AC Service,3.3,3,0.3,0.1000
20250305,7,Appliance Repair,0.6,0,0.6,
20250305,7,Carpenter,1.1,0,1.1,
20250305,7,Painter,1.0,1,0.0,0.0000
20250305,7,Pest Control,0.8,1,0.2,0.2000
20250305,8,AC Service,0.5,0,0.5,
20250305,8,Appliance Repair,1.0,1,0.0,0.0000
20250305,9,AC Service,1.0,1,0.0,0.0000
20250305,9,Deep Cleaning,0.6,0,0.6,
20250305,9,Pest Control,1.0,1,0.0,0.0000
20250305,10,Appliance Repair,0.8,1,0.2,0.2000
20250305,11,AC Service,1.6,2,0.4,0.2000
20250305,11,Appliance Repair,1.5,0,1.5,
20250305,11,Plumber,1.1,1,0.1,0.1000
20250305,13,AC Service,2.2,2,0.2,0.1000
20250305,13,Appliance Repair,0.8,0,0.8,
20250305,13,Carpenter,1.1,1,0.1,0.1000
20250305,14,AC Service,1.2,1,0.2,0.2000
20250305,14,Appliance Repair,1.1,1,0.1,0.1000
20250305,14,Electrician,0.7,1,0.3,0.3000
20250305,14,Painter,1.0,1,0.0,0.0000
20250305,14,Plumber,1.9,2,0.1,0.0500
20250305,15,Electrician,0.9,1,0.1,0.1000
20250305,15,Pest Control,1.2,0,1.2,
20250305,16,Appliance Repair,0.9,1,0.1,0.1000
20250305,16,Carpenter,1.2,0,1.2,
20250305,16,Electrician,1.1,1,0.1,0.1000
20250305,18,Plumber,1.8,2,0.2,0.1000
20250305,19,Carpenter,0.5,0,0.5,
20250305,20,Appliance Repair,1.5,0,1.5,
20250305,20,Carpenter,0.8,0,0.8,
20250305,20,Deep Cleaning,2.7,0,2.7,
20250305,20,Electrician,1.2,1,0.2,0.2000
20250305,20,Pest Control,0.8,1,0.2,0.2000
20250306,1,AC Service,2.2,2,0.2,0.1000
20250306,1,Carpenter,1.7,0,1.7,
20250306,1,Deep Cleaning,1.3,1,0.3,0.3000
20250306,2,AC Service,2.2,2,0.2,0.1000
20250306,2,Electrician,1.1,1,0.1,0.1000
20250306,2,Painter,1.2,0,1.2,
20250306,2,Pest Control,1.7,0,1.7,
20250306,3,AC Service,1.9,2,0.1,0.0500
20250306,3,Appliance Repair,0.9,0,0.9,
20250306,3,Electrician,2.4,0,2.4,
20250306,4,AC Service,1.1,1,0.1,0.1000
20250306,4,Carpenter,0.9,1,0.1,0.1000
20250306,4,Electrician,1.1,1,0.1,0.1000
20250306,4,Painter,0.9,0,0.9,
20250306,4,Pest Control,1.4,1,0.4,0.4000
20250306,5,Carpenter,1.1,1,0.1,0.1000
20250306,6,AC Service,0.9,1,0.1,0.1000
20250306,6,Deep Cleaning,1.5,0,1.5,
20250306,7,Deep Cleaning,1.1,0,1.1,
20250306,7,Electrician,0.8,1,0.2,0.2000
20250306,7,Painter,1.0,1,0.0,0.0000
20250306,7,Plumber,2.0,0,2.0,
20250306,8,Carpenter,0.7,0,0.7,
20250306,8,Deep Cleaning,0.8,1,0.2,0.2000
20250306,8,Plumber,1.1,0,1.1,
20250306,9,AC Service,1.2,1,0.2,0.2000
20250306,9,Electrician,0.8,1,0.2,0.2000
20250306,9,Plumber,0.9,1,0.1,0.1000
20250306,11,AC Service,1.0,1,0.0,0.0000
20250306,11,Deep Cleaning,1.1,1,0.1,0.1000
20250306,11,Electrician,0.6,0,0.6,
20250306,11,Painter,1.2,0,1.2,
20250306,11,Plumber,0.8,1,0.2,0.2000
20250306,12,AC Service,1.2,2,0.8,0.4000
20250306,12,Electrician,1.1,1,0.1,0.1000
20250306,12,Plumber,0.9,1,0.1,0.1000
20250306,13,AC Service,1.2,1,0.2,0.2000
20250306,13,Plumber,0.6,1,0.4,0.4000
20250306,14,AC Service,2.5,3,0.5,0.1667
20250306,14,Deep Cleaning,4.2,0,4.2,
20250306,14,Electrician,3.5,0,3.5,
20250306,14,Painter,0.9,1,0.1,0.1000
20250306,14,Pest Control,0.9,1,0.1,0.1000
20250306,15,Appliance Repair,1.5,1,0.5,0.5000
20250306,15,Painter,0.5,0,0.5,
20250306,16,Deep Cleaning,0.8,0,0.8,
20250306,16,Plumber,0.9,1,0.1,0.1000
20250306,17,Electrician,0.6,0,0.6,
20250306,17,Pest Control,0.8,1,0.2,0.2000
20250306,18,AC Service,1.0,1,0.0,0.0000
20250306,18,Appliance Repair,0.6,0,0.6,
20250306,18,Carpenter,0.7,0,0.7,
20250306,18,Pest Control,1.0,0,1.0,
20250306,19,AC Service,1.1,1,0.1,0.1000
20250306,19,Appliance Repair,1.9,2,0.1,0.0500
20250306,19,Carpenter,1.3,1,0.3,0.3000
20250306,19,Deep Cleaning,0.5,0,0.5,
20250306,20,AC Service,1.1,1,0.1,0.1000
20250306,20,Painter,2.4,0,2.4,
20250307,1,Carpenter,1.0,1,0.0,0.0000
20250307,1,Pest Control,1.0,1,0.0,0.0000
20250307,1,Plumber,1.8,0,1.8,
20250307,2,AC Service,0.9,1,0.1,0.1000
20250307,2,Appliance Repair,1.2,0,1.2,
20250307,2,Carpenter,0.7,1,0.3,0.3000
20250307,2,Electrician,2.1,2,0.1,0.0500
20250307,2,Pest Control,2.7,0,2.7,
20250307,3,Appliance Repair,0.5,0,0.5,
20250307,3,Electrician,0.6,0,0.6,
20250307,4,AC Service,3.5,3,0.5,0.1667
20250307,4,Carpenter,1.0,1,0.0,0.0000
20250307,4,Deep Cleaning,0.5,0,0.5,
20250307,4,Electrician,1.9,2,0.1,0.0500
20250307,4,Pest Control,0.5,1,0.5,0.5000
20250307,5,AC Service,2.1,2,0.1,0.0500
20250307,5,Deep Cleaning,1.0,1,0.0,0.0000
20250307,5,Pest Control,0.6,0,0.6,
20250307,5,Plumber,1.1,1,0.1,0.1000
20250307,6,Appliance Repair,1.0,1,0.0,0.0000
20250307,6,Carpenter,0.5,0,0.5,
20250307,6,Electrician,2.9,2,0.9,0.4500
20250307,6,Painter,0.8,0,0.8,
20250307,6,Plumber,1.1,1,0.1,0.1000
20250307,7,AC Service,1.0,1,0.0,0.0000
20250307,7,Appliance Repair,1.2,1,0.2,0.2000
20250307,8,AC Service,0.8,1,0.2,0.2000
20250307,8,Pest Control,2.3,0,2.3,
20250307,9,Deep Cleaning,1.2,1,0.2,0.2000
20250307,9,Electrician,0.9,1,0.1,0.1000
20250307,9,Pest Control,0.5,0,0.5,
20250307,10,Appliance Repair,1.0,0,1.0,
20250307,10,Painter,1.6,0,1.6,
20250307,11,AC Service,1.3,1,0.3,0.3000
20250307,11,Appliance Repair,0.9,0,0.9,
20250307,11,Electrician,0.8,1,0.2,0.2000
20250307,11,Painter,1.1,0,1.1,
20250307,12,AC Service,1.3,0,1.3,
20250307,12,Carpenter,1.5,0,1.5,
20250307,12,Deep Cleaning,0.9,1,0.1,0.1000
20250307,12,Electrician,1.4,0,1.4,
20250307,13,Appliance Repair,1.1,1,0.1,0.1000
20250307,13,Deep Cleaning,1.1,0,1.1,
20250307,13,Plumber,0.9,0,0.9,
20250307,14,Appliance Repair,1.1,1,0.1,0.1000
20250307,14,Deep Cleaning,0.5,0,0.5,
20250307,14,Electrician,1.5,0,1.5,
20250307,14,Plumber,1.2,1,0.2,0.2000
20250307,15,AC Service,0.9,1,0.1,0.1000
20250307,15,Appliance Repair,0.9,1,0.1,0.1000
20250307,15,Deep Cleaning,1.0,0,1.0,
20250307,15,Painter,0.5,0,0.5,
20250307,15,Pest Control,3.2,0,3.2,
20250307,15,Plumber,1.2,1,0.2,0.2000
20250307,16,AC Service,1.2,1,0.2,0.2000
20250307,16,Electrician,0.5,0,0.5,
20250307,16,Plumber,1.6,2,0.4,0.2000
20250307,17,Painter,1.5,0,1.5,
20250307,18,AC Service,1.0,1,0.0,0.0000
20250307,18,Electrician,0.7,0,0.7,
20250307,18,Plumber,1.1,0,1.1,
20250307,19,Electrician,1.4,0,1.4,
20250307,19,Plumber,1.0,1,0.0,0.0000
20250307,20,AC Service,1.1,1,0.1,0.1000
20250307,20,Electrician,1.0,1,0.0,0.0000
20250307,20,Plumber,2.4,0,2.4,
20250308,1,AC Service,3.5,6,2.5,0.4167
20250308,1,Carpenter,0.9,1,0.1,0.1000
20250308,1,Deep Cleaning,1.1,1,0.1,0.1000
20250308,1,Electrician,1.0,1,0.0,0.0000
20250308,1,Painter,1.1,1,0.1,0.1000
20250308,2,AC Service,2.3,2,0.3,0.1500
20250308,2,Appliance Repair,1.0,1,0.0,0.0000
20250308,2,Plumber,3.6,3,0.6,0.2000
20250308,3,AC Service,2.2,2,0.2,0.1000
20250308,3,Carpenter,0.9,1,0.1,0.1000
20250308,3,Deep Cleaning,1.0,1,0.0,0.0000
20250308,4,AC Service,2.2,2,0.2,0.1000
20250308,4,Appliance Repair,0.9,1,0.1,0.1000
20250308,4,Deep Cleaning,0.9,1,0.1,0.1000
20250308,4,Plumber,0.9,1,0.1,0.1000
20250308,5,AC Service,0.9,1,0.1,0.1000
20250308,5,Deep Cleaning,0.9,1,0.1,0.1000
20250308,5,Pest Control,2.4,0,2.4,
20250308,5,Plumber,0.7,0,0.7,
20250308,6,AC Service,0.9,1,0.1,0.1000
20250308,6,Appliance Repair,1.0,0,1.0,
20250308,6,Deep Cleaning,1.3,1,0.3,0.3000
20250308,6,Electrician,1.3,1,0.3,0.3000
20250308,6,Plumber,1.9,2,0.1,0.0500
20250308,7,AC Service,1.5,1,0.5,0.5000
20250308,7,Appliance Repair,1.9,2,0.1,0.0500
20250308,7,Carpenter,2.6,0,2.6,
20250308,7,Electrician,2.2,2,0.2,0.1000
20250308,7,Painter,1.9,2,0.1,0.0500
20250308,8,AC Service,3.8,3,0.8,0.2667
20250308,8,Deep Cleaning,0.6,0,0.6,
20250308,8,Painter,1.0,1,0.0,0.0000
20250308,9,AC Service,1.2,1,0.2,0.2000
20250308,9,Appliance Repair,1.9,2,0.1,0.0500
20250308,9,Deep Cleaning,0.8,0,0.8,
20250308,9,Electrician,2.0,2,0.0,0.0000
20250308,10,Electrician,1.3,1,0.3,0.3000
20250308,10,Pest Control,1.1,1,0.1,0.1000
20250308,10,Plumber,1.1,0,1.1,
20250308,11,AC Service,1.1,1,0.1,0.1000
20250308,11,Painter,1.0,1,0.0,0.0000
20250308,11,Plumber,0.9,1,0.1,0.1000
20250308,12,AC Service,1.1,1,0.1,0.1000
20250308,12,Appliance Repair,0.9,1,0.1,0.1000
20250308,12,Carpenter,3.3,0,3.3,
20250308,12,Electrician,0.8,1,0.2,0.2000
20250308,13,AC Service,1.8,2,0.2,0.1000
20250308,13,Deep Cleaning,1.0,1,0.0,0.0000
20250308,13,Plumber,1.1,0,1.1,
20250308,14,AC Service,0.6,0,0.6,
20250308,14,Appliance Repair,1.0,1,0.0,0.0000
20250308,14,Deep Cleaning,1.7,2,0.3,0.1500
20250308,14,Pest Control,0.9,0,0.9,
20250308,14,Plumber,1.4,0,1.4,
20250308,15,Appliance Repair,1.0,1,0.0,0.0000
20250308,15,Carpenter,1.4,1,0.4,0.4000
20250308,15,Electrician,0.5,0,0.5,
20250308,15,Pest Control,2.0,2,0.0,0.0000
20250308,16,AC Service,2.3,2,0.3,0.1500
20250308,16,Deep Cleaning,1.0,0,1.0,
20250308,16,Electrician,1.0,1,0.0,0.0000
20250308,16,Painter,0.6,0,0.6,
20250308,16,Pest Control,1.1,1,0.1,0.1000
20250308,16,Plumber,0.9,1,0.1,0.1000
20250308,17,Appliance Repair,2.1,2,0.1,0.0500
20250308,17,Pest Control,1.3,1,0.3,0.3000
20250308,18,AC Service,0.6,0,0.6,
20250308,18,Deep Cleaning,1.5,0,1.5,
20250308,18,Electrician,0.9,1,0.1,0.1000
20250308,18,Pest Control,0.9,0,0.9,
20250308,18,Plumber,1.3,0,1.3,
20250308,19,AC Service,0.9,1,0.1,0.1000
20250308,19,Carpenter,1.2,1,0.2,0.2000
20250308,20,Appliance Repair,0.8,0,0.8,
20250308,20,Deep Cleaning,0.8,1,0.2,0.2000
20250308,20,Electrician,1.4,0,1.4,
20250309,1,AC Service,2.0,2,0.0,0.0000
20250309,1,Appliance Repair,0.9,1,0.1,0.1000
20250309,1,Carpenter,1.3,1,0.3,0.3000
20250309,1,Electrician,0.9,1,0.1,0.1000
20250309,1,Painter,0.7,0,0.7,
20250309,2,AC Service,6.0,5,1.0,0.2000
20250309,2,Appliance Repair,1.0,1,0.0,0.0000
20250309,2,Painter,1.6,0,1.6,
20250309,2,Pest Control,1.0,1,0.0,0.0000
20250309,3,AC Service,1.1,1,0.1,0.1000
20250309,3,Appliance Repair,1.0,1,0.0,0.0000
20250309,3,Deep Cleaning,0.9,1,0.1,0.1000
20250309,3,Electrician,0.6,0,0.6,
20250309,3,Pest Control,1.0,1,0.0,0.0000
20250309,4,AC Service,1.9,2,0.1,0.0500
20250309,4,Appliance Repair,0.8,1,0.2,0.2000
20250309,4,Deep Cleaning,3.1,3,0.1,0.0333
