DateKey,AreaKey,ServiceKey,Searches,Leads,QuotesSent,Bookings,AvgLeadQualityScore
20250101,12,21,7,1,0,0,0.554
20250101,13,27,6,2,1,0,0.506
20250101,13,28,5,2,1,0,0.643
20250101,14,16,3,1,0,0,0.645
20250101,15,13,21,6,4,1,0.601
20250101,15,14,20,6,4,1,0.643
20250101,15,24,18,5,3,1,0.584
20250101,16,13,15,5,3,1,0.607
20250101,16,14,18,5,4,1,0.603
20250101,16,21,14,5,3,1,0.512
20250101,16,27,4,1,0,0,0.463
20250101,17,1,8,2,1,0,0.518
20250101,17,25,4,1,0,0,0.457
20250101,17,33,31,7,6,1,0.506
20250101,18,4,5,1,0,0,0.429
20250101,18,18,1,0,0,0,0.503
20250101,18,26,8,2,1,0,0.416
20250101,18,33,4,1,0,0,0.478
20250101,19,21,9,2,1,0,0.551
20250101,19,24,4,1,0,0,0.535
20250101,19,25,9,2,1,0,0.352
20250101,19,27,9,2,1,0,0.371
20250101,19,31,8,2,1,0,0.428
20250101,19,33,3,0,0,0,0.398
20250101,19,37,9,3,2,0,0.519
20250101,20,3,9,2,1,0,0.454
20250102,1,8,6,2,1,0,0.674
20250102,1,14,25,6,4,1,0.637
20250102,1,21,19,5,3,1,0.704
20250102,1,36,4,1,0,0,0.588
20250102,2,1,6,1,0,0,0.673
20250102,2,11,4,1,0,0,0.731
20250102,2,13,13,4,3,1,0.756
20250102,2,14,26,8,6,2,0.691
20250102,2,16,23,6,3,1,0.664
20250102,2,24,39,10,6,2,0.674
20250102,2,29,2,0,0,0,0.637
20250102,3,11,11,3,2,1,0.563
20250102,3,31,9,1,0,0,0.793
20250102,3,36,14,5,2,1,0.689
20250102,4,5,3,0,0,0,0.762
20250102,4,12,4,1,0,0,0.630
20250102,4,15,5,1,0,0,0.624
20250102,4,18,2,0,0,0,0.613
20250102,4,36,25,7,4,1,0.492
20250102,5,14,21,5,3,1,0.675
20250102,5,28,7,2,1,0,0.665
20250102,5,29,2,0,0,0,0.686
20250102,6,11,9,2,1,0,0.815
20250102,6,24,6,2,1,0,0.592
20250102,6,25,4,0,0,0,0.677
20250102,6,27,16,5,3,1,0.624
20250102,7,4,16,5,3,1,0.693
20250102,7,5,5,1,0,0,0.507
20250102,7,6,5,1,0,0,0.685
20250102,7,12,16,5,3,1,0.586
20250102,7,14,13,4,3,1,0.756
20250102,7,23,23,6,3,1,0.643
20250102,7,27,16,4,3,1,0.709
20250102,7,33,25,5,3,1,0.573
20250102,8,29,5,1,0,0,0.609
20250102,9,11,2,0,0,0,0.728
20250102,9,17,24,7,4,1,0.640
20250102,9,26,20,5,3,1,0.580
20250102,9,31,6,1,0,0,0.511
20250102,9,33,4,1,0,0,0.566
20250102,10,16,9,3,2,0,0.504
20250102,10,17,14,4,3,1,0.543
20250102,10,26,3,0,0,0,0.590
20250102,10,27,4,1,0,0,0.524
20250102,10,29,9,2,0,0,0.578
20250102,11,1,1,0,0,0,0.574
20250102,11,24,15,4,3,1,0.637
20250102,12,8,5,1,0,0,0.604
20250102,12,10,17,7,4,1,0.523
20250102,12,12,7,2,1,0,0.610
20250102,12,31,8,2,1,0,0.622
20250102,12,36,22,6,4,1,0.615
20250102,13,5,17,5,4,1,0.590
20250102,13,24,6,2,1,0,0.446
20250102,13,34,7,1,0,0,0.531
20250102,14,4,6,1,0,0,0.598
20250102,14,11,7,2,1,0,0.581
20250102,15,1,18,5,3,1,0.697
20250102,15,20,9,2,1,0,0.572
20250102,15,31,15,4,3,1,0.478
20250102,15,33,2,0,0,0,0.603
20250102,16,33,12,4,3,1,0.462
20250102,17,34,6,1,0,0,0.461
20250102,17,37,25,7,6,1,0.320
20250102,18,11,1,0,0,0,0.424
20250102,18,15,5,1,0,0,0.434
20250102,18,21,7,1,0,0,0.494
20250102,18,36,8,2,1,0,0.467
20250102,19,12,5,1,0,0,0.420
20250102,19,16,1,0,0,0,0.484
20250102,20,5,9,2,1,0,0.365
20250102,20,9,2,0,0,0,0.437
20250102,20,11,8,1,0,0,0.438
20250102,20,13,26,9,6,1,0.462
20250102,20,36,9,3,2,0,0.555
20250103,1,1,14,5,3,1,0.728
20250103,1,13,17,5,3,1,0.573
20250103,1,21,2,0,0,0,0.561
20250103,1,33,10,4,3,1,0.706
20250103,1,34,7,2,1,0,0.714
20250103,2,4,5,1,0,0,0.753
20250103,2,7,9,2,1,0,0.743
20250103,2,12,3,0,0,0,0.710
20250103,2,25,21,6,3,1,0.734
20250103,3,12,8,3,2,0,0.695
20250103,3,35,7,1,0,0,0.569
20250103,4,12,4,1,0,0,0.687
20250103,4,15,4,1,0,0,0.713
20250103,4,16,13,4,3,1,0.713
20250103,4,27,15,4,3,1,0.628
20250103,4,29,16,4,3,1,0.623
20250103,5,13,2,0,0,0,0.603
20250103,5,25,5,1,0,0,0.714
20250103,5,33,17,4,3,1,0.723
20250103,5,36,18,5,3,1,0.640
20250103,6,1,6,2,1,0,0.664
20250103,6,6,2,0,0,0,0.624
20250103,6,11,6,1,0,0,0.703
20250103,6,14,10,4,3,1,0.625
20250103,6,15,13,4,3,1,0.798
20250103,6,20,8,2,1,0,0.605
20250103,6,25,4,1,0,0,0.667
20250103,6,28,13,4,3,1,0.660
20250103,8,4,18,6,4,1,0.661
20250103,8,14,3,0,0,0,0.608
20250103,8,18,18,5,3,1,0.567
20250103,8,26,8,2,1,0,0.652
20250103,8,36,21,5,3,1,0.522
20250103,9,14,9,2,1,0,0.500
20250103,9,19,8,2,1,0,0.549
20250103,9,22,6,1,0,0,0.655
20250103,9,31,1,0,0,0,0.657
20250103,10,5,28,7,4,1,0.677
20250103,10,11,16,4,3,1,0.635
20250103,10,14,16,5,4,1,0.559
20250103,10,20,4,1,0,0,0.641
20250103,10,29,4,1,0,0,0.523
20250103,11,1,1,0,0,0,0.568
20250103,11,19,19,6,4,1,0.622
20250103,11,26,4,1,0,0,0.535
20250103,11,33,21,5,4,1,0.578
20250103,12,5,4,1,0,0,0.515
20250103,12,12,21,6,3,1,0.592
20250103,13,1,3,0,0,0,0.524
20250103,13,20,3,0,0,0,0.618
20250103,13,21,8,2,1,0,0.536
20250103,13,26,18,6,4,1,0.575
20250103,13,29,8,2,1,0,0.591
20250103,14,24,3,0,0,0,0.532
20250103,14,28,24,7,4,1,0.615
20250103,14,34,13,4,3,1,0.607
20250103,15,3,5,1,0,0,0.583
20250103,15,6,43,10,5,1,0.537
20250103,15,14,7,1,0,0,0.631
20250103,15,34,1,0,0,0,0.656
20250103,16,25,2,0,0,0,0.623
20250103,16,28,14,4,3,1,0.584
20250103,16,29,6,2,1,0,0.604
20250103,16,33,23,5,4,1,0.567
20250103,17,5,9,2,1,0,0.431
20250103,17,34,42,10,6,1,0.541
20250103,18,14,9,1,0,0,0.481
20250103,19,11,7,1,0,0,0.654
20250103,19,15,19,5,3,1,0.483
20250103,19,16,4,0,0,0,0.501
20250103,19,29,9,3,1,0,0.462
20250103,19,34,5,1,0,0,0.548
20250103,20,1,3,0,0,0,0.522
20250103,20,33,6,1,0,0,0.540
20250104,1,16,8,1,0,0,0.697
20250104,1,19,23,6,3,1,0.574
20250104,1,26,16,5,3,1,0.722
20250104,2,3,17,4,3,1,0.601
20250104,2,6,1,0,0,0,0.651
20250104,2,9,4,1,0,0,0.632
20250104,2,22,24,7,4,1,0.701
20250104,2,31,17,6,3,1,0.676
20250104,2,34,21,6,4,1,0.648
20250104,2,37,4,1,0,0,0.577
20250104,3,6,3,0,0,0,0.497
20250104,3,19,13,4,3,1,0.641
20250104,3,21,6,2,1,0,0.763
20250104,3,24,29,7,3,1,0.688
20250104,3,27,26,7,5,2,0.610
20250104,3,28,25,6,3,1,0.682
20250104,3,31,12,4,3,1,0.514
20250104,4,11,12,3,2,1,0.650
20250104,4,14,6,1,0,0,0.601
20250104,4,20,16,4,2,1,0.655
20250104,4,25,2,0,0,0,0.751
20250104,4,33,21,6,3,1,0.608
20250104,4,34,16,5,3,1,0.692
20250104,5,11,27,7,4,1,0.601
20250104,5,15,4,1,0,0,0.667
20250104,5,18,2,0,0,0,0.752
20250104,5,25,15,5,3,1,0.635
20250104,6,21,16,6,3,1,0.632
20250104,6,27,19,4,3,1,0.646
20250104,6,30,4,1,0,0,0.640
20250104,7,11,9,3,2,0,0.744
20250104,8,9,11,4,3,1,0.607
20250104,8,18,20,6,4,1,0.576
20250104,8,28,13,3,2,1,0.527
20250104,9,10,5,1,0,0,0.486
20250104,9,11,4,1,0,0,0.574
20250104,9,14,4,1,0,0,0.666
20250104,10,11,19,5,3,1,0.530
20250104,10,21,9,2,1,0,0.593
20250104,11,1,6,1,0,0,0.662
20250104,11,14,5,1,0,0,0.589
20250104,11,24,12,4,3,1,0.692
20250104,11,26,5,1,0,0,0.543
20250104,11,31,11,4,3,1,0.623
20250104,12,1,25,7,3,1,0.564
20250104,12,11,2,0,0,0,0.633
20250104,12,12,2,0,0,0,0.526
20250104,12,16,3,0,0,0,0.557
20250104,12,27,1,0,0,0,0.530
20250104,13,3,2,0,0,0,0.635
20250104,13,18,13,4,3,1,0.693
20250104,13,36,23,5,3,1,0.467
20250104,14,17,20,7,4,1,0.591
20250104,14,21,8,2,1,0,0.567
20250104,14,26,17,5,3,1,0.673
20250104,14,36,22,7,4,1,0.558
20250104,15,9,17,6,3,1,0.597
20250104,15,20,6,1,0,0,0.426
20250104,15,24,17,6,3,1,0.619
20250104,15,30,1,0,0,0,0.626
20250104,16,11,1,0,0,0,0.550
20250104,16,21,16,6,3,1,0.559
20250104,16,22,11,4,3,1,0.562
20250104,16,23,7,2,1,0,0.555
20250104,16,34,35,8,4,1,0.529
20250104,17,10,1,0,0,0,0.568
20250104,17,21,3,0,0,0,0.385
20250104,17,26,3,0,0,0,0.399
20250104,17,31,7,2,1,0,0.525
20250104,18,11,4,1,0,0,0.519
20250104,18,18,7,2,1,0,0.438
20250104,18,31,5,1,0,0,0.558
20250104,19,6,6,1,0,0,0.455
20250104,19,23,9,2,1,0,0.468
20250104,20,14,2,0,0,0,0.313
20250104,20,26,21,7,5,1,0.432
20250104,20,34,6,2,1,0,0.560
20250105,1,3,6,1,0,0,0.653
20250105,1,12,16,4,3,1,0.746
20250105,1,17,17,4,3,1,0.635
20250105,1,21,14,5,3,1,0.664
20250105,1,33,20,6,3,1,0.713
20250105,2,1,7,2,1,0,0.661
20250105,2,3,1,0,0,0,0.678
20250105,2,21,1,0,0,0,0.607
20250105,2,24,11,3,2,1,0.761
20250105,2,26,11,3,2,1,0.598
20250105,2,27,14,4,3,1,0.662
20250105,3,11,16,4,2,1,0.614
20250105,3,16,14,4,3,1,0.745
20250105,3,30,3,0,0,0,0.742
20250105,3,31,2,0,0,0,0.769
20250105,4,6,21,7,3,1,0.697
20250105,4,13,25,6,3,1,0.755
20250105,5,5,10,4,3,1,0.677
20250105,5,8,14,5,3,1,0.631
20250105,5,11,15,5,3,1,0.619
20250105,5,16,5,1,0,0,0.719
20250105,5,19,24,8,4,1,0.679
20250105,5,21,17,6,3,1,0.747
20250105,5,24,8,2,1,0,0.795
20250105,5,29,14,4,3,1,0.687
20250105,5,33,19,6,3,1,0.669
20250105,6,3,5,1,0,0,0.576
20250105,6,11,5,1,0,0,0.697
20250105,6,12,18,5,4,1,0.669
20250105,6,20,26,7,3,1,0.601
20250105,6,21,21,6,3,1,0.555
20250105,6,27,15,4,3,1,0.769
20250105,6,30,3,0,0,0,0.713
20250105,7,5,3,0,0,0,0.714
20250105,7,6,13,5,3,1,0.623
20250105,7,17,7,2,1,0,0.699
20250105,7,26,30,5,2,1,0.644
20250105,8,22,28,7,4,1,0.529
20250105,8,31,13,4,3,1,0.644
20250105,9,4,16,6,3,1,0.597
20250105,9,5,15,4,3,1,0.590
20250105,9,6,15,5,4,1,0.567
20250105,9,31,16,6,4,1,0.540
20250105,9,36,6,2,1,0,0.577
20250105,10,10,18,5,3,1,0.470
20250105,10,27,3,0,0,0,0.652
20250105,10,34,6,1,0,0,0.546
20250105,11,5,14,4,3,1,0.580
20250105,11,14,2,0,0,0,0.685
20250105,11,15,9,2,1,0,0.522
20250105,11,33,13,5,3,1,0.627
20250105,12,11,23,5,4,1,0.594
20250105,12,12,5,1,0,0,0.622
20250105,12,15,7,2,1,0,0.578
20250105,12,25,18,6,4,1,0.529
20250105,13,1,7,3,2,1,0.691
20250105,13,24,7,1,0,0,0.562
20250105,13,26,36,11,10,3,0.632
20250105,14,3,5,1,0,0,0.583
20250105,14,28,9,3,1,0,0.569
20250105,14,31,26,8,4,1,0.541
20250105,15,2,2,0,0,0,0.570
20250105,15,10,5,1,0,0,0.575
20250105,15,25,18,6,4,1,0.645
20250105,15,36,20,5,3,1,0.541
20250105,16,1,6,1,0,0,0.592
20250105,16,3,19,6,3,1,0.555
20250105,16,11,12,5,3,1,0.605
20250105,16,14,19,7,6,2,0.661
20250105,16,22,22,7,6,2,0.527
20250105,16,32,1,0,0,0,0.610
20250105,17,7,7,1,0,0,0.493
20250105,17,14,23,5,4,1,0.514
20250105,17,15,26,6,4,1,0.521
20250105,17,18,1,0,0,0,0.445
20250105,17,21,31,9,6,1,0.507
20250105,17,37,8,3,1,0,0.517
20250105,18,1,6,2,1,0,0.432
20250105,18,5,28,8,5,1,0.447
20250105,18,14,3,0,0,0,0.541
20250105,18,24,23,7,4,1,0.482
20250105,18,31,21,6,4,1,0.501
20250105,19,11,28,9,5,1,0.338
20250105,19,18,4,1,0,0,0.497
20250105,19,20,28,9,5,1,0.498
20250105,19,27,3,0,0,0,0.418
20250105,19,30,3,1,0,0,0.449
20250105,20,12,6,2,1,0,0.418
20250105,20,24,4,1,0,0,0.416
20250105,20,34,2,0,0,0,0.496
20250106,1,15,14,5,3,1,0.632
20250106,1,18,2,0,0,0,0.621
20250106,2,3,2,0,0,0,0.560
20250106,2,4,2,0,0,0,0.689
20250106,2,5,2,0,0,0,0.666
20250106,2,20,8,2,1,0,0.684
20250106,3,12,13,4,3,1,0.679
20250106,3,18,25,7,4,1,0.659
20250106,3,20,16,4,3,1,0.696
20250106,3,21,13,5,3,1,0.663
20250106,3,26,7,2,1,0,0.618
20250106,3,27,7,1,0,0,0.622
20250106,3,37,7,2,1,0,0.684
20250106,4,4,12,5,3,1,0.554
20250106,4,11,34,11,5,2,0.687
20250106,4,14,11,4,3,1,0.627
20250106,4,16,19,5,3,1,0.671
20250106,4,17,5,1,0,0,0.587
20250106,4,18,4,1,0,0,0.693
20250106,4,31,18,4,3,1,0.684
20250106,4,34,17,5,4,1,0.629
20250106,5,5,13,3,2,1,0.665
20250106,5,33,6,1,0,0,0.561
20250106,5,34,14,4,3,1,0.598
20250106,5,37,15,5,3,1,0.654
20250106,6,6,4,1,0,0,0.743
20250106,6,7,12,4,2,1,0.644
20250106,6,16,3,0,0,0,0.595
20250106,6,21,2,0,0,0,0.654
20250106,6,32,15,5,3,1,0.703
20250106,6,33,19,5,3,1,0.730
20250106,7,32,8,2,1,0,0.657
20250106,7,33,14,5,4,1,0.651
20250106,8,12,34,8,4,1,0.570
20250106,8,24,2,0,0,0,0.477
20250106,8,25,25,8,4,1,0.585
20250106,8,29,13,4,3,1,0.579
20250106,9,16,3,1,0,0,0.523
20250106,9,21,1,0,0,0,0.489
20250106,9,22,20,5,3,1,0.562
20250106,10,3,22,6,4,1,0.645
20250106,10,9,15,5,3,1,0.569
20250106,10,11,15,5,3,1,0.605
20250106,10,14,21,6,5,2,0.694
20250106,10,20,4,0,0,0,0.599
20250106,10,27,9,2,1,0,0.507
20250106,10,33,20,7,5,1,0.544
20250106,11,16,3,0,0,0,0.607
20250106,11,25,9,3,2,0,0.572
20250106,11,31,8,2,1,0,0.652
20250106,12,7,16,5,4,1,0.655
20250106,12,14,4,0,0,0,0.574
20250106,12,16,5,1,0,0,0.518
20250106,12,21,1,0,0,0,0.613
20250106,12,22,8,2,0,0,0.594
20250106,12,24,4,0,0,0,0.501
20250106,12,26,12,4,3,1,0.617
20250106,13,15,5,1,0,0,0.677
20250106,13,21,14,4,3,1,0.612
20250106,14,28,23,6,4,1,0.429
20250106,14,29,1,0,0,0,0.722
20250106,14,37,6,2,1,0,0.518
20250106,15,17,6,1,0,0,0.651
20250106,15,24,9,3,2,0,0.528
20250106,15,31,12,4,3,1,0.503
20250106,15,34,5,1,0,0,0.651
20250106,16,18,4,1,0,0,0.488
20250106,17,12,25,8,5,1,0.487
20250106,17,24,3,0,0,0,0.484
20250106,17,26,5,1,0,0,0.467
20250106,17,29,32,7,4,1,0.481
20250106,17,31,27,9,6,1,0.434
20250106,18,1,6,2,1,0,0.486
20250106,18,14,29,9,5,1,0.356
20250106,18,27,8,3,2,0,0.552
20250106,18,28,30,8,5,1,0.424
20250106,19,26,4,1,0,0,0.333
20250106,19,28,8,2,1,0,0.398
20250107,1,8,25,6,4,1,0.671
20250107,1,12,21,6,3,1,0.601
20250107,1,22,11,4,2,1,0.667
20250107,1,36,5,1,0,0,0.681
20250107,2,1,6,1,0,0,0.793
20250107,2,3,9,2,1,0,0.612
20250107,2,15,20,5,3,1,0.618
20250107,2,26,12,4,3,1,0.700
20250107,3,22,6,1,0,0,0.697
20250107,3,28,4,1,0,0,0.570
20250107,3,31,1,0,0,0,0.586
20250107,3,36,8,2,1,0,0.563
20250107,3,37,19,6,4,1,0.689
20250107,4,18,9,2,1,0,0.676
20250107,4,21,15,5,3,1,0.672
20250107,4,26,23,7,5,2,0.739
20250107,4,36,13,4,2,1,0.704
20250107,5,1,1,0,0,0,0.660
20250107,5,26,3,1,0,0,0.731
20250107,6,4,16,4,3,1,0.622
20250107,6,5,8,1,0,0,0.688
20250107,6,16,18,5,3,1,0.725
20250107,6,18,23,5,3,1,0.688
20250107,6,27,6,1,0,0,0.689
20250107,6,31,12,4,3,1,0.762
20250107,7,3,1,0,0,0,0.683
20250107,7,5,2,0,0,0,0.692
20250107,7,11,2,0,0,0,0.795
20250107,7,21,8,3,2,1,0.670
20250107,7,37,28,6,4,1,0.742
20250107,9,24,11,5,3,1,0.637
20250107,9,26,3,0,0,0,0.656
20250107,9,36,14,4,3,1,0.588
20250107,10,6,3,0,0,0,0.509
20250107,10,7,2,0,0,0,0.594
20250107,10,16,15,5,4,1,0.578
20250107,10,23,18,5,4,1,0.624
20250107,10,29,15,5,4,1,0.667
20250107,10,31,29,8,4,1,0.667
20250107,11,27,16,5,3,1,0.541
20250107,12,10,4,1,0,0,0.513
20250107,12,18,3,0,0,0,0.637
20250107,12,21,17,5,3,1,0.410
20250107,12,24,5,1,0,0,0.529
20250107,13,6,9,2,1,0,0.495
20250107,13,10,4,1,0,0,0.570
20250107,13,25,14,4,3,1,0.502
20250107,14,7,1,0,0,0,0.478
20250107,15,27,9,3,1,0,0.493
20250107,16,5,6,1,0,0,0.627
20250107,16,6,9,2,1,0,0.515
20250107,16,26,6,1,0,0,0.575
20250107,17,3,4,1,0,0,0.498
20250107,17,20,7,1,0,0,0.467
20250107,17,28,5,1,0,0,0.534
20250107,17,33,23,7,4,1,0.497
20250107,18,17,5,1,0,0,0.497
20250107,18,21,5,1,0,0,0.493
20250107,18,33,7,3,2,0,0.539
20250107,18,36,2,0,0,0,0.436
20250107,19,9,7,2,0,0,0.464
20250107,19,21,1,0,0,0,0.497
20250107,19,22,8,3,1,0,0.428
20250107,20,25,17,6,5,1,0.540
20250107,20,33,1,0,0,0,0.560
20250107,20,34,3,1,0,0,0.500
20250107,20,35,16,5,4,1,0.539
20250108,1,1,2,0,0,0,0.662
20250108,1,11,17,5,3,1,0.646
20250108,1,12,3,0,0,0,0.616
20250108,1,26,7,2,1,0,0.681
20250108,1,35,6,1,0,0,0.684
20250108,2,21,18,5,3,1,0.578
20250108,2,26,20,4,3,1,0.533
20250108,3,29,4,1,0,0,0.710
20250108,4,11,21,5,3,1,0.604
20250108,4,16,3,1,0,0,0.732
20250108,4,21,20,5,3,1,0.729
20250108,4,26,1,0,0,0,0.662
20250108,4,33,3,1,0,0,0.764
20250108,5,9,17,5,3,1,0.599
20250108,5,18,26,5,4,1,0.673
20250108,5,29,21,7,4,1,0.639
20250108,6,17,2,0,0,0,0.712
20250108,6,21,11,4,3,1,0.625
20250108,6,24,15,5,3,1,0.690
20250108,6,33,14,4,3,1,0.701
20250108,7,3,13,4,2,1,0.646
20250108,7,13,15,7,3,1,0.634
20250108,7,26,2,0,0,0,0.650
20250108,7,35,21,4,3,1,0.686
20250108,7,37,7,3,2,0,0.654
20250108,8,1,5,1,0,0,0.581
20250108,8,5,25,7,4,1,0.619
20250108,8,11,4,1,0,0,0.572
20250108,8,14,27,8,4,1,0.538
20250108,8,18,2,0,0,0,0.575
20250108,8,36,20,6,3,1,0.596
20250108,9,1,1,0,0,0,0.742
20250108,9,12,14,4,3,1,0.591
20250108,9,19,20,6,4,1,0.557
20250108,9,22,3,0,0,0,0.544
20250108,10,11,34,8,4,1,0.433
20250108,10,12,3,1,0,0,0.519
20250108,10,14,17,5,3,1,0.583
20250108,10,21,7,2,1,0,0.654
20250108,10,34,3,0,0,0,0.638
20250108,10,35,3,1,0,0,0.617
20250108,11,8,5,0,0,0,0.597
20250108,11,26,19,5,3,1,0.606
20250108,12,21,17,4,3,1,0.543
20250108,13,13,3,0,0,0,0.503
20250108,13,16,12,4,3,1,0.602
20250108,13,37,13,5,4,1,0.637
20250108,14,13,9,3,1,0,0.550
20250108,14,24,9,2,1,0,0.578
20250108,15,11,17,6,3,1,0.596
20250108,15,27,18,5,3,1,0.583
20250108,15,29,6,1,0,0,0.560
20250108,15,34,19,5,4,1,0.614
20250108,16,24,18,5,3,1,0.500
20250108,16,25,3,0,0,0,0.659
20250108,17,5,1,0,0,0,0.459
20250108,17,12,2,0,0,0,0.432
20250108,17,15,9,2,1,0,0.402
20250108,17,18,9,2,1,0,0.448
20250108,17,19,9,2,1,0,0.405
20250108,18,1,7,3,2,0,0.460
20250108,18,25,9,3,2,0,0.517
20250108,19,9,3,0,0,0,0.541
20250108,19,27,1,0,0,0,0.480
20250108,19,33,5,2,1,0,0.425
20250108,19,36,5,2,1,0,0.507
20250108,20,13,21,8,5,1,0.511
20250108,20,18,29,8,5,1,0.457
20250108,20,20,2,0,0,0,0.471
20250108,20,21,6,1,0,0,0.446
20250108,20,30,1,0,0,0,0.535
20250109,1,1,22,6,3,1,0.651
20250109,1,16,23,8,3,1,0.690
20250109,1,29,10,3,2,1,0.721
20250109,2,21,8,3,1,0,0.586
20250109,2,24,9,2,1,0,0.610
20250109,2,36,15,4,3,1,0.798
20250109,3,9,2,0,0,0,0.753
20250109,3,11,23,7,4,1,0.636
20250109,3,15,9,2,1,0,0.640
20250109,3,22,21,6,3,1,0.646
20250109,3,24,20,5,3,1,0.635
20250109,3,31,2,0,0,0,0.654
20250109,3,32,14,4,2,1,0.703
20250109,3,35,15,5,3,1,0.718
20250109,4,11,15,5,3,1,0.649
20250109,4,14,15,5,3,1,0.656
20250109,4,22,1,0,0,0,0.766
20250109,4,25,15,5,3,1,0.720
20250109,4,28,9,3,2,1,0.640
20250109,4,29,20,5,3,1,0.711
20250109,4,36,26,6,5,2,0.734
20250109,5,14,2,0,0,0,0.669
20250109,6,1,4,1,0,0,0.603
20250109,6,18,17,5,3,1,0.687
20250109,6,36,19,6,3,1,0.604
20250109,7,5,16,5,3,1,0.632
20250109,7,9,11,3,2,1,0.691
20250109,7,30,30,9,5,1,0.665
20250109,8,16,5,1,0,0,0.587
20250109,8,19,26,6,3,1,0.593
20250109,8,21,5,1,0,0,0.620
20250109,8,29,17,5,4,1,0.488
20250109,8,35,15,5,3,1,0.598
20250109,9,33,9,2,1,0,0.603
20250109,10,21,1,0,0,0,0.596
20250109,10,32,9,2,1,0,0.554
20250109,10,37,14,6,4,1,0.545
20250109,11,24,4,1,0,0,0.568
20250109,12,12,14,4,3,1,0.623
20250109,12,21,21,6,4,1,0.641
20250109,12,24,5,1,0,0,0.473
20250109,12,26,2,0,0,0,0.621
20250109,12,33,2,0,0,0,0.563
20250109,13,25,21,6,3,1,0.597
20250109,13,31,9,2,1,0,0.479
20250109,13,32,1,0,0,0,0.552
20250109,14,11,22,6,4,1,0.551
20250109,14,15,21,6,3,1,0.571
20250109,14,20,28,7,4,1,0.631
20250109,14,33,2,0,0,0,0.510
20250109,14,36,17,5,3,1,0.616
20250109,15,3,18,5,4,1,0.640
20250109,15,36,8,2,1,0,0.564
20250109,16,25,5,2,1,0,0.542
20250109,16,29,14,4,3,1,0.548
20250109,17,11,31,8,5,1,0.498
20250109,17,13,22,7,5,1,0.423
20250109,17,14,7,2,1,0,0.442
20250109,17,18,6,1,0,0,0.407
20250109,17,27,7,1,0,0,0.466
20250109,17,29,1,0,0,0,0.426
20250109,17,37,2,0,0,0,0.522
20250109,18,1,5,1,0,0,0.522
20250109,18,12,3,1,0,0,0.545
20250109,18,13,6,1,0,0,0.434
20250109,19,1,5,1,0,0,0.600
20250109,19,9,8,2,1,0,0.474
20250109,19,20,1,0,0,0,0.422
20250109,19,25,2,0,0,0,0.388
20250109,19,34,3,1,0,0,0.474
20250109,19,37,7,1,0,0,0.545
20250109,20,20,27,8,5,1,0.381
20250109,20,21,2,0,0,0,0.473
20250110,1,5,15,4,3,1,0.768
20250110,1,6,7,2,1,0,0.667
20250110,1,15,8,2,1,0,0.649
20250110,1,26,9,1,0,0,0.589
20250110,1,31,7,1,0,0,0.619
20250110,2,17,14,5,3,1,0.562
20250110,2,23,15,4,3,1,0.705
20250110,2,30,13,4,3,1,0.687
20250110,3,15,9,2,1,0,0.651
20250110,3,24,6,1,0,0,0.700
20250110,3,34,1,0,0,0,0.812
20250110,4,3,19,5,4,1,0.738
20250110,4,10,3,0,0,0,0.639
20250110,4,24,3,1,0,0,0.742
20250110,4,27,13,4,2,1,0.686
20250110,5,36,13,5,3,1,0.630
20250110,6,16,15,4,3,1,0.739
