BookingID,DateKey,BookingTimestamp,CustomerKey,ProKey,ServiceKey,AreaKey,Channel,BookingStatus,QuotedAmountINR,FinalAmountINR,DiscountINR,CommissionPct,PlatformRevenueINR,MaterialCostINR,PaymentMode,TimeToAssignMins,ResponseTimeMins,JobDurationMins,SLAMetFlag,CustomerRating,ReviewSentiment,IsRepeatCustomer,PredictedPriceINR,PredictedETAMins,ActualETAMins,MatchScore,FraudScore,ChurnRiskScore,IsFirstTimeFix,ReopenedWithin7Days
BK0000026,20250101,2025-01-01 18:52:08,26,701,18,4,App,Completed,790.00,680.00,110.00,20.0,136.00,74.95,Cash,11,29,57,1,5,Positive,0,815,75,70,0.840,0.038,0.231,1,0
BK0000027,20250101,2025-01-01 18:52:44,27,785,29,5,App,Completed,2150.00,2230.00,260.00,21.0,468.30,676.87,UPI,16,31,66,1,,,0,2088,63,61,0.812,0.076,0.400,0,1
BK0000028,20250101,2025-01-01 18:55:44,28,112,18,5,App,Completed,660.00,630.00,80.00,20.0,126.00,87.74,UPI,3,9,70,1,,,0,665,39,49,0.816,0.661,0.601,1,0
BK0000029,20250101,2025-01-01 19:12:02,29,822,3,3,App,NoShow,930.00,0.00,0.00,18.0,0.00,0.00,Cash,7,52,,,,,0,913,50,,0.847,0.082,0.370,,
BK0000030,20250101,2025-01-01 19:14:21,30,317,9,2,WhatsApp,Completed,21170.00,21170.00,0.00,12.0,2540.40,12960.53,UPI,13,51,602,1,5,Positive,0,21460,58,74,0.570,0.025,0.179,1,0
BK0000031,20250101,2025-01-01 19:22:42,31,841,11,3,App,Completed,1010.00,1010.00,0.00,19.0,191.90,173.80,UPI,10,62,53,1,4,Positive,0,1015,49,40,0.931,0.013,0.353,1,0
BK0000032,20250101,2025-01-01 19:38:02,32,812,24,15,Phone,CancelledByPro,1710.00,0.00,0.00,19.0,0.00,0.00,UPI,12,33,,,,,0,1777,44,,0.537,0.002,0.414,,
BK0000033,20250101,2025-01-01 19:49:29,33,823,16,2,App,CancelledByPro,1320.00,0.00,160.00,20.0,0.00,0.00,UPI,3,41,,,,,0,1319,50,,0.835,0.033,0.466,,
BK0000034,20250101,2025-01-01 20:06:27,34,535,14,15,App,CancelledByCustomer,1080.00,0.00,90.00,19.0,0.00,0.00,NetBanking,7,35,,,,,0,1090,127,,0.831,0.147,0.449,,
BK0000035,20250101,2025-01-01 20:57:43,35,447,20,1,App,Completed,1050.00,1130.00,120.00,20.0,226.00,230.02,UPI,4,14,66,1,,,0,965,65,55,0.933,0.033,0.507,0,0
BK0000036,20250101,2025-01-01 23:21:23,36,221,13,15,App,Completed,3150.00,3440.00,390.00,22.0,756.80,1393.88,UPI,7,9,233,1,4,Positive,0,3575,51,37,0.647,0.095,0.361,1,0
BK0000037,20250101,2025-01-01 23:47:29,37,10,34,2,Web,Completed,1390.00,1390.00,0.00,20.0,278.00,516.32,UPI,13,26,108,1,,,0,1520,44,46,0.816,0.066,0.339,1,0
BK0000038,20250102,2025-01-02 06:11:46,38,544,12,7,Web,Completed,780.00,780.00,0.00,22.0,171.60,140.34,UPI,4,20,67,1,5,Positive,0,858,76,60,0.790,0.072,0.215,1,0
BK0000039,20250102,2025-01-02 07:19:39,39,662,17,9,App,Completed,1150.00,1150.00,0.00,20.0,230.00,488.36,Card,7,20,98,0,4,Positive,0,1345,73,95,0.518,0.071,0.464,0,0
BK0000040,20250102,2025-01-02 07:29:03,40,561,10,12,Phone,Completed,5080.00,5080.00,0.00,15.0,762.00,1935.91,Cash,8,57,414,1,,,0,4669,86,81,0.593,0.090,0.387,1,0
BK0000041,20250102,2025-01-02 07:49:46,32,561,16,2,WhatsApp,Completed,1400.00,1400.00,0.00,20.0,280.00,387.81,Cash,2,64,113,1,5,Positive,1,1394,75,74,0.670,0.117,0.546,1,0
BK0000042,20250102,2025-01-02 08:15:49,41,447,27,6,Phone,Completed,2070.00,2070.00,0.00,22.0,455.40,273.32,UPI,7,24,203,1,4,Positive,0,1792,87,76,0.831,0.146,0.465,1,0
BK0000043,20250102,2025-01-02 08:23:46,42,367,24,2,Phone,Completed,2380.00,1930.00,450.00,19.0,366.70,508.99,Cash,8,48,60,1,,,0,2097,55,56,0.816,0.082,0.398,1,0
BK0000044,20250102,2025-01-02 08:31:01,43,682,13,20,Web,Completed,2350.00,2350.00,0.00,22.0,517.00,943.35,UPI,16,26,168,1,5,Positive,0,2672,83,89,0.846,0.134,0.244,1,0
BK0000045,20250102,2025-01-02 09:07:00,44,383,31,15,App,Completed,1280.00,1150.00,130.00,21.0,241.50,285.68,Cash,17,39,70,1,,,0,1606,54,61,0.801,0.081,0.471,1,0
BK0000046,20250102,2025-01-02 09:45:43,45,682,11,3,App,Completed,910.00,910.00,0.00,22.0,200.20,171.39,UPI,6,36,69,1,5,Positive,0,920,63,68,0.892,0.061,0.775,1,0
BK0000047,20250102,2025-01-02 10:19:54,46,665,26,9,App,Completed,1170.00,980.00,190.00,22.0,215.60,110.38,UPI,13,49,125,1,5,Positive,0,1613,57,62,0.857,0.093,0.264,1,0
BK0000048,20250102,2025-01-02 10:21:00,47,312,36,12,Phone,Completed,1640.00,1640.00,0.00,20.0,328.00,408.08,Cash,5,27,52,1,5,Positive,0,1604,26,22,0.877,0.018,0.274,1,0
BK0000049,20250102,2025-01-02 10:26:52,18,588,36,4,App,Completed,1500.00,1500.00,0.00,20.0,300.00,522.48,UPI,6,14,67,0,4,Positive,1,1370,129,126,0.724,0.024,0.216,1,0
BK0000050,20250102,2025-01-02 10:46:35,48,555,36,3,App,Rescheduled,1220.00,0.00,230.00,20.0,0.00,0.00,UPI,9,14,,,,,0,1086,47,,0.760,0.061,0.090,,
BK0000051,20250102,2025-01-02 11:03:20,49,257,27,7,App,Completed,2020.00,1920.00,100.00,22.0,422.40,288.87,UPI,9,9,154,0,,,0,1918,105,96,0.759,0.018,0.306,1,0
BK0000052,20250102,2025-01-02 11:11:15,38,848,14,7,WhatsApp,Completed,1460.00,1250.00,210.00,22.0,275.00,140.05,Cash,5,27,58,1,5,Positive,1,1477,59,49,0.753,0.038,0.210,0,0
BK0000053,20250102,2025-01-02 11:22:25,50,311,33,16,WhatsApp,Completed,1100.00,1100.00,0.00,20.0,220.00,484.73,Card,5,11,94,1,,,0,1075,97,87,0.778,0.169,0.399,1,0
BK0000054,20250102,2025-01-02 12:50:04,51,490,14,5,Web,Completed,980.00,980.00,0.00,22.0,215.60,131.65,NetBanking,7,22,65,1,,,0,1197,52,35,0.843,0.053,0.386,1,0
BK0000055,20250102,2025-01-02 15:02:09,38,405,23,7,WhatsApp,Rescheduled,2950.00,0.00,0.00,19.0,0.00,0.00,NetBanking,8,13,,,,,1,3134,46,,0.803,0.080,0.157,,
BK0000056,20250102,2025-01-02 15:04:02,52,472,24,2,WhatsApp,Completed,2140.00,2140.00,0.00,19.0,406.60,643.45,UPI,6,35,80,1,5,Positive,0,2564,55,78,0.746,0.055,0.490,0,0
BK0000057,20250102,2025-01-02 16:32:52,53,407,14,2,WhatsApp,Completed,1270.00,1100.00,170.00,22.0,242.00,106.66,Cash,4,15,80,1,,,0,1333,51,36,0.902,0.113,0.568,1,0
BK0000058,20250102,2025-01-02 16:42:19,54,393,14,1,App,Completed,1650.00,1520.00,130.00,22.0,334.40,209.13,Wallet,7,33,64,1,5,Positive,0,1728,71,55,0.613,0.069,0.330,1,0
BK0000059,20250102,2025-01-02 17:20:12,55,370,4,7,WhatsApp,Completed,10380.00,9850.00,1570.00,18.0,1773.00,4194.93,UPI,6,16,356,1,5,Positive,0,8290,65,73,0.658,0.088,0.442,1,0
BK0000060,20250102,2025-01-02 17:36:03,44,365,1,15,Phone,Completed,1010.00,1010.00,0.00,18.0,181.80,204.61,Card,11,23,61,1,4,Positive,1,884,49,59,0.731,0.009,0.129,1,0
BK0000061,20250102,2025-01-02 17:58:32,19,544,14,2,Phone,CancelledByPro,1130.00,0.00,60.00,22.0,0.00,0.00,UPI,4,30,,,,,1,1427,35,,0.960,0.004,0.484,,
BK0000062,20250102,2025-01-02 19:25:38,56,53,24,11,App,Completed,1630.00,1430.00,200.00,19.0,271.70,414.72,UPI,14,20,101,1,5,Positive,0,1660,39,37,0.839,0.049,0.502,1,0
BK0000063,20250102,2025-01-02 19:45:53,57,794,5,13,App,Completed,630.00,590.00,40.00,18.0,106.20,53.56,Card,12,52,95,1,5,Positive,0,625,34,42,0.768,0.090,0.457,1,0
BK0000064,20250102,2025-01-02 19:52:04,13,427,21,1,Web,NoShow,620.00,0.00,110.00,19.0,0.00,0.00,Wallet,14,23,,,,,1,746,72,,0.813,0.025,0.184,,
BK0000065,20250102,2025-01-02 20:03:42,37,407,13,2,App,Completed,4580.00,4070.00,510.00,22.0,895.40,2049.70,UPI,25,15,223,1,,,1,4975,64,70,0.857,0.002,0.374,1,0
BK0000066,20250102,2025-01-02 20:14:24,45,823,17,10,App,Completed,900.00,900.00,0.00,20.0,180.00,313.68,UPI,7,15,99,0,,,1,1000,120,130,0.776,0.185,0.125,1,0
BK0000067,20250102,2025-01-02 20:16:22,2,311,37,17,Web,CancelledByPro,1170.00,0.00,110.00,20.0,0.00,0.00,NetBanking,14,11,,,,,1,1067,130,,0.748,0.037,0.259,,
BK0000068,20250102,2025-01-02 21:17:07,55,299,33,7,Phone,Completed,1250.00,1080.00,170.00,20.0,216.00,370.03,NetBanking,19,94,80,1,3,Neutral,1,1245,58,48,0.874,0.067,0.187,1,0
BK0000069,20250103,2025-01-03 08:27:54,58,215,4,8,App,Completed,11060.00,9980.00,1080.00,18.0,1796.40,5130.10,UPI,10,27,455,1,,,0,10886,53,55,0.598,0.019,0.412,1,0
BK0000070,20250103,2025-01-03 08:30:50,59,32,25,2,Web,Completed,6420.00,6820.00,580.00,22.0,1500.40,945.78,UPI,14,12,263,1,5,Positive,0,7150,57,53,0.705,0.001,0.291,1,0
BK0000071,20250103,2025-01-03 08:36:26,60,221,15,19,App,Completed,1370.00,1150.00,220.00,22.0,253.00,114.79,UPI,16,27,120,1,3,Neutral,0,1651,47,54,0.673,0.019,0.010,1,1
BK0000072,20250103,2025-01-03 09:02:58,61,311,33,1,Web,Completed,1520.00,1410.00,110.00,20.0,282.00,451.66,Cash,8,9,90,1,5,Positive,0,1325,39,38,0.768,0.639,0.284,1,0
BK0000073,20250103,2025-01-03 09:31:09,62,633,36,5,Phone,Completed,1060.00,940.00,120.00,20.0,188.00,392.95,UPI,7,14,92,1,,,0,1087,66,69,0.831,0.092,0.119,1,0
BK0000074,20250103,2025-01-03 09:31:57,63,496,18,8,WhatsApp,Rescheduled,570.00,0.00,0.00,17.0,0.00,0.00,UPI,16,19,,,,,0,606,67,,0.793,0.127,0.217,,
BK0000075,20250103,2025-01-03 09:36:03,64,248,13,1,App,Completed,3640.00,3060.00,580.00,22.0,673.20,1193.13,UPI,8,16,240,1,,,0,3452,49,44,0.761,0.006,0.457,1,0
BK0000076,20250103,2025-01-03 09:47:59,65,682,12,12,App,Completed,560.00,560.00,0.00,22.0,123.20,94.67,Card,13,17,43,1,,,0,496,62,50,0.843,0.047,0.178,1,0
BK0000077,20250103,2025-01-03 11:10:51,66,490,15,6,Phone,Completed,1640.00,1640.00,0.00,22.0,360.80,133.16,UPI,11,9,104,1,5,Positive,0,1653,70,40,0.817,0.059,0.616,1,0
BK0000078,20250103,2025-01-03 11:23:39,67,839,33,16,App,CancelledByPro,1220.00,0.00,0.00,20.0,0.00,0.00,Cash,12,48,,,,,0,1363,58,,0.757,0.039,0.223,,
BK0000079,20250103,2025-01-03 11:27:42,68,537,26,13,App,CancelledByCustomer,1750.00,0.00,320.00,22.0,0.00,0.00,UPI,23,17,,,,,0,1789,58,,0.615,0.073,0.289,,
BK0000080,20250103,2025-01-03 11:58:54,12,617,5,10,App,Completed,700.00,610.00,90.00,18.0,109.80,68.24,Cash,15,17,95,1,,,1,777,64,62,0.770,0.756,0.289,1,0
BK0000081,20250103,2025-01-03 13:06:00,69,153,36,8,App,Completed,1160.00,1160.00,0.00,20.0,232.00,361.25,UPI,5,15,67,1,,,0,1231,43,48,0.724,0.043,0.224,1,0
BK0000082,20250103,2025-01-03 13:06:59,70,552,29,4,WhatsApp,Completed,1610.00,1510.00,100.00,21.0,317.10,415.12,UPI,10,11,69,1,5,Positive,0,1583,36,45,0.773,0.134,0.256,1,0
BK0000083,20250103,2025-01-03 14:38:29,71,326,27,4,Web,Completed,2310.00,2310.00,0.00,19.0,438.90,335.28,NetBanking,10,11,150,1,,,0,2058,62,73,0.822,0.020,0.370,1,0
BK0000084,20250103,2025-01-03 15:59:26,72,311,34,17,Web,Completed,1550.00,1440.00,110.00,20.0,288.00,541.19,UPI,6,26,84,0,,,0,1754,116,112,0.811,0.022,0.151,0,0
BK0000085,20250103,2025-01-03 16:07:08,73,682,14,6,App,Completed,980.00,980.00,0.00,22.0,215.60,124.23,UPI,3,30,97,1,5,Positive,0,1137,27,39,0.928,0.112,0.698,1,0
BK0000086,20250103,2025-01-03 17:14:47,15,496,19,11,WhatsApp,NoShow,3240.00,0.00,360.00,20.0,0.00,0.00,UPI,12,47,,,,,1,3476,74,,0.814,0.092,0.302,,
BK0000087,20250103,2025-01-03 17:30:11,74,16,1,1,App,Completed,860.00,860.00,0.00,18.0,154.80,202.38,UPI,9,40,89,1,,,0,760,69,75,0.945,0.014,0.463,1,0
BK0000088,20250103,2025-01-03 17:53:39,75,89,28,6,Web,Completed,1500.00,1360.00,140.00,22.0,299.20,247.48,UPI,5,25,188,1,5,Positive,0,2016,73,59,0.575,0.069,0.294,1,0
BK0000089,20250103,2025-01-03 18:21:03,50,248,14,10,Phone,Completed,1050.00,930.00,120.00,22.0,204.60,102.44,UPI,8,14,91,1,5,Positive,1,1044,46,34,0.899,0.013,0.310,1,0
BK0000090,20250103,2025-01-03 18:23:00,76,487,16,4,App,Completed,1240.00,1240.00,0.00,20.0,248.00,300.71,NetBanking,7,38,95,0,4,Positive,0,883,120,128,0.957,0.011,0.389,1,0
BK0000091,20250103,2025-01-03 18:46:33,77,162,6,15,Phone,Completed,24400.00,24400.00,0.00,15.0,3660.00,11370.10,Cash,14,28,1671,1,5,Positive,0,27506,78,75,0.844,0.038,0.492,1,0
BK0000092,20250103,2025-01-03 18:59:12,78,839,34,14,App,Completed,1090.00,990.00,100.00,20.0,198.00,477.36,UPI,19,25,93,1,,,0,1014,66,66,0.665,0.155,0.373,1,0
BK0000093,20250103,2025-01-03 19:47:47,15,208,33,11,WhatsApp,Completed,1010.00,950.00,60.00,20.0,190.00,318.66,NetBanking,10,13,96,1,5,Positive,1,1049,69,64,0.791,0.120,0.263,1,0
BK0000094,20250103,2025-01-03 20:28:05,79,326,28,16,App,Completed,1660.00,1330.00,330.00,22.0,292.60,177.77,UPI,14,22,135,1,,,0,1617,67,62,0.915,0.085,0.239,1,0
BK0000095,20250103,2025-01-03 20:35:40,80,509,33,5,App,Completed,1110.00,940.00,170.00,20.0,188.00,278.24,Cash,17,25,67,1,,,0,1111,36,56,0.515,0.048,0.383,1,0
BK0000096,20250103,2025-01-03 20:37:52,81,339,28,14,Web,Completed,1870.00,1870.00,0.00,22.0,411.40,250.31,Cash,20,25,214,1,5,Positive,0,2090,56,63,0.875,0.055,0.240,0,0
BK0000097,20250103,2025-01-03 21:57:20,82,490,11,10,Phone,Completed,830.00,780.00,50.00,22.0,171.60,187.14,UPI,6,66,81,1,4,Positive,0,847,80,69,0.654,0.041,0.482,1,0
BK0000098,20250104,2025-01-04 00:11:34,83,694,31,2,App,NoShow,1680.00,0.00,0.00,21.0,0.00,0.00,UPI,16,27,,,,,0,1686,84,,0.705,0.043,0.237,,
BK0000099,20250104,2025-01-04 06:07:54,84,587,28,3,App,NoShow,1950.00,0.00,0.00,22.0,0.00,0.00,Card,28,22,,,,,0,1613,64,,0.637,0.069,0.551,,
BK0000100,20250104,2025-01-04 08:12:25,76,676,34,4,Web,Completed,1320.00,1320.00,0.00,20.0,264.00,398.62,Card,20,12,77,1,,,1,1266,65,59,0.681,0.013,0.010,1,0
BK0000101,20250104,2025-01-04 08:23:37,85,279,21,16,Web,Completed,750.00,750.00,0.00,19.0,142.50,70.59,Card,13,40,96,1,5,Positive,0,656,58,74,0.709,0.023,0.499,1,0
BK0000102,20250104,2025-01-04 09:58:11,86,442,26,1,Phone,NoShow,1500.00,0.00,0.00,22.0,0.00,0.00,NetBanking,27,101,,,,,0,1379,37,,0.932,0.111,0.390,,
BK0000103,20250104,2025-01-04 10:09:34,87,587,27,3,App,Completed,2020.00,1820.00,200.00,22.0,400.40,236.02,UPI,11,13,246,1,5,Positive,0,1852,68,70,0.905,0.033,0.010,1,0
BK0000104,20250104,2025-01-04 10:25:29,88,495,18,8,App,Completed,470.00,390.00,80.00,20.0,78.00,64.04,UPI,33,50,58,1,4,Positive,0,403,84,68,0.954,0.013,0.354,1,0
BK0000105,20250104,2025-01-04 10:38:58,89,141,3,2,Phone,Completed,870.00,870.00,0.00,18.0,156.60,238.34,Cash,14,16,72,1,5,Positive,0,745,37,41,0.768,0.090,0.467,1,0
BK0000106,20250104,2025-01-04 10:53:34,90,447,11,4,Phone,Rescheduled,1200.00,0.00,0.00,22.0,0.00,0.00,UPI,8,15,,,,,0,1459,49,,0.959,0.032,0.463,,
BK0000107,20250104,2025-01-04 10:55:54,57,713,36,13,Web,Completed,1010.00,1010.00,0.00,20.0,202.00,271.10,UPI,7,6,74,1,4,Positive,1,811,79,76,0.644,0.039,0.331,1,0
BK0000108,20250104,2025-01-04 10:56:29,29,442,9,8,App,Completed,14210.00,14210.00,0.00,15.0,2131.50,7595.96,UPI,19,19,321,1,,,1,19101,74,57,0.935,0.093,0.615,1,0
BK0000109,20250104,2025-01-04 10:56:59,91,427,24,15,WhatsApp,Completed,2100.00,2100.00,0.00,19.0,399.00,656.80,UPI,14,26,68,1,3,Neutral,0,1860,70,73,0.747,0.044,0.167,1,0
BK0000110,20250104,2025-01-04 11:06:25,92,761,26,20,Web,Completed,820.00,820.00,0.00,22.0,180.40,113.25,NetBanking,48,21,113,1,4,Positive,0,809,53,53,0.570,0.053,0.049,1,0
BK0000111,20250104,2025-01-04 11:10:22,93,496,20,4,WhatsApp,Completed,1040.00,1040.00,0.00,20.0,208.00,229.86,UPI,5,22,103,1,,,0,1146,95,85,0.967,0.005,0.251,0,0
BK0000112,20250104,2025-01-04 11:29:35,94,141,1,12,App,Completed,780.00,640.00,140.00,18.0,115.20,154.49,Card,19,15,95,1,4,Positive,0,636,80,69,0.795,0.129,0.652,1,0
BK0000113,20250104,2025-01-04 12:05:47,95,812,24,11,App,Completed,1810.00,1810.00,0.00,19.0,343.90,516.10,Cash,13,26,104,1,5,Positive,0,1790,54,50,0.682,0.028,0.187,1,0
BK0000114,20250104,2025-01-04 12:12:27,96,468,22,2,App,Completed,1930.00,1930.00,0.00,19.0,366.70,525.28,UPI,28,20,182,1,,,0,2110,55,59,0.646,0.062,0.444,1,0
BK0000115,20250104,2025-01-04 14:08:35,97,587,27,3,WhatsApp,Completed,1360.00,1180.00,180.00,22.0,259.60,189.05,UPI,15,32,175,0,4,Positive,0,1377,109,101,0.752,0.207,0.381,1,0
BK0000116,20250104,2025-01-04 14:10:13,68,447,18,13,Phone,Completed,420.00,390.00,30.00,20.0,78.00,58.98,Card,8,31,57,1,4,Positive,1,373,51,61,0.891,0.036,0.588,1,0
BK0000117,20250104,2025-01-04 14:11:37,98,414,9,15,App,Completed,15350.00,12880.00,2470.00,15.0,1932.00,6345.38,Cash,13,36,534,0,4,Positive,0,11145,107,98,0.710,0.083,0.221,0,0
BK0000118,20250104,2025-01-04 14:32:48,99,271,21,6,App,Completed,790.00,790.00,0.00,19.0,150.10,95.18,UPI,9,77,87,1,,,0,707,43,40,0.761,0.078,0.169,1,0
BK0000119,20250104,2025-01-04 15:23:15,28,682,11,5,App,Rescheduled,830.00,0.00,80.00,22.0,0.00,0.00,UPI,11,16,,,,,1,813,47,,0.929,0.073,0.266,,
BK0000120,20250104,2025-01-04 15:58:57,100,195,31,3,App,Completed,1000.00,880.00,120.00,21.0,184.80,212.22,UPI,18,22,81,1,4,Positive,0,1166,96,71,0.854,0.030,0.418,1,0
BK0000121,20250104,2025-01-04 16:13:45,101,241,34,16,App,Completed,1170.00,960.00,210.00,20.0,192.00,346.81,NetBanking,12,18,97,1,3,Neutral,0,1053,67,60,0.879,0.052,0.349,1,0
BK0000122,20250104,2025-01-04 16:44:13,102,480,24,3,App,Completed,2030.00,1860.00,170.00,19.0,353.40,555.66,UPI,7,54,123,1,4,Positive,0,2063,79,67,0.999,0.079,0.346,1,0
BK0000123,20250104,2025-01-04 16:46:17,103,495,19,1,App,Completed,2870.00,2690.00,180.00,20.0,538.00,677.34,UPI,15,24,109,1,,,0,2905,51,61,0.807,0.140,0.423,1,0
BK0000124,20250104,2025-01-04 17:49:35,104,649,33,4,Phone,Completed,960.00,960.00,0.00,20.0,192.00,279.39,UPI,6,32,73,1,4,Positive,0,1006,66,68,0.610,0.062,0.521,1,0
BK0000125,20250104,2025-01-04 17:54:26,105,583,28,8,Web,Completed,1660.00,1660.00,0.00,22.0,365.20,331.26,UPI,12,19,142,1,5,Positive,0,1725,42,45,0.938,0.140,0.449,1,0
BK0000126,20250104,2025-01-04 18:01:21,51,450,25,5,Web,Completed,5920.00,5920.00,0.00,22.0,1302.40,757.75,UPI,10,28,356,0,2,Negative,1,5423,138,154,0.768,0.052,0.255,0,1
BK0000127,20250104,2025-01-04 18:02:09,12,682,19,3,App,Completed,3200.00,3200.00,0.00,20.0,640.00,938.68,Card,13,36,173,0,3,Neutral,1,3028,90,103,0.982,0.027,0.010,1,0
BK0000128,20250104,2025-01-04 18:02:56,81,199,17,14,App,Completed,1400.00,1400.00,0.00,20.0,280.00,483.27,UPI,13,40,108,1,5,Positive,1,1501,90,89,0.891,0.007,0.347,1,0
BK0000129,20250104,2025-01-04 18:57:22,106,241,34,2,Web,Completed,1210.00,1100.00,110.00,20.0,220.00,339.43,UPI,14,27,135,1,,,0,1229,54,52,0.873,0.072,0.664,1,0
